hsa	Homo_sapiens
ptr	Pan_troglodytes
ggo	Gorilla_gorilla
ppy	Pongo_abelii
mml	Macaca_mulatta
cja	Callithrix_jacchus
tsy	Tarsius_syrichta
mmr	Microcebus_murinus
oga	Otolemur_garnettii
tbe	Tupaia_belangeri
cpo	Cavia_porcellus
dor	Dipodomys_ordii
mmu	Mus_musculus
rno	Rattus_norvegicus
str	Ictidomys_tridecemlineatus
opr	Ochotona_princeps
ocu	Oryctolagus_cuniculus
bta	Bos_taurus
ttr	Tursiops_truncatus
vpa	Vicugna_pacos
ssc	Sus_scrofa
cfa	Canis_familiaris
fca	Felis_catus
eca	Equus_caballus
mlu	Myotis_lucifugus
pva	Pteropus_vampyrus
eeu	Erinaceus_europaeus
sar	Sorex_araneus
cho	Choloepus_hoffmanni
ete	Echinops_telfairi
laf	Loxodonta_africana
pca	Procavia_capensis
meu	Macropus_eugenii
mdo	Monodelphis_domestica
oan	Ornithorhynchus_anatinus
gga	Gallus_gallus
mga	Meleagris_gallopavo
tgu	Taeniopygia_guttata
aca	Anolis_carolinensis
xtr	Xenopus_tropicalis
dre	Danio_rerio
gac	Gasterosteus_aculeatus
ola	Oryzias_latipes
tru	Takifugu_rubripes
tni	Tetraodon_nigroviridis
cin	Ciona_intestinalis
csa	Ciona_savignyi
dme	Drosophila_melanogaster
cel	Caenorhabditis_elegans
