# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Adenocarcinoma.txt 2015-01-18 22:36:46.777958
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Adenocarcinoma
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Adenocarcinoma--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Adenocarcinoma--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Adenocarcinoma: 50
# Proteins in Background: 1025
#
# age	label	Adenocarcinoma	Background	p-value
0.0	0.0	0	151	0.001
6.1	6.1	0	51	0.170
15.7	15.7	0	107	0.007
29.6	29.6	0	239	0.000
44.2	44.2	0	1	1.000
89.1	89.1	0	13	1.000
97.4	97.4	1	238	0.000
176.1	176.1	0	8	1.000
220.2	220.2	0	4	1.000
324.5	324.5	0	9	1.000
361.2	361.2	1	9	0.364
454.6	454.6	3	29	0.164
535.7	535.7	22	83	0.000
797.0	797.0	3	7	0.003
842.0	842.0	3	5	0.001
910.0	910.0	15	63	0.000
937.0	937.0	2	8	0.054
#
# Mann-Whitney U test: U = 4.9e+03 (p = 5.12e-23)
#
# Average age of Adenocarcinoma: 681.0
# Average age of Background: 169.9
#
# Median age of Adenocarcinoma: 535.7
# Median age of Background: 29.6
