# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Hepatitis-B.txt 2015-01-18 22:49:12.112631
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Hepatitis-B
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Hepatitis-B--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Hepatitis-B--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Hepatitis-B: 32
# Proteins in Background: 1025
#
# age	label	Hepatitis-B	Background	p-value
0.0	0.0	0	151	0.010
6.1	6.1	0	51	0.400
15.7	15.7	1	107	0.242
29.6	29.6	2	239	0.018
44.2	44.2	0	1	1.000
89.1	89.1	0	13	1.000
97.4	97.4	2	238	0.018
176.1	176.1	0	8	1.000
220.2	220.2	0	4	1.000
324.5	324.5	0	9	1.000
361.2	361.2	0	9	1.000
454.6	454.6	5	29	0.001
535.7	535.7	12	83	0.000
797.0	797.0	0	7	1.000
842.0	842.0	0	5	1.000
910.0	910.0	9	63	0.000
937.0	937.0	1	8	0.225
#
# Mann-Whitney U test: U = 5.4e+03 (p = 2.7e-11)
#
# Average age of Hepatitis-B: 565.6
# Average age of Background: 169.9
#
# Median age of Hepatitis-B: 535.7
# Median age of Background: 29.6
