# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Lung-Neoplasms.txt 2015-01-18 22:53:37.459222
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Lung-Neoplasms
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Lung-Neoplasms--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Lung-Neoplasms--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Lung-Neoplasms: 142
# Proteins in Background: 1025
#
# age	label	Lung-Neoplasms	Background	p-value
0.0	0.0	0	151	0.000
6.1	6.1	1	51	0.006
15.7	15.7	0	107	0.000
29.6	29.6	2	239	0.000
44.2	44.2	1	1	0.139
89.1	89.1	1	13	1.000
97.4	97.4	19	238	0.003
176.1	176.1	1	8	1.000
220.2	220.2	1	4	0.450
324.5	324.5	1	9	1.000
361.2	361.2	1	9	1.000
454.6	454.6	10	29	0.004
535.7	535.7	45	83	0.000
797.0	797.0	4	7	0.009
842.0	842.0	2	5	0.144
910.0	910.0	49	63	0.000
937.0	937.0	4	8	0.016
#
# Mann-Whitney U test: U = 2e+04 (p = 9.8e-46)
#
# Average age of Lung-Neoplasms: 598.5
# Average age of Background: 169.9
#
# Median age of Lung-Neoplasms: 535.7
# Median age of Background: 29.6
