# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Neuroblastoma.txt 2015-01-18 22:56:50.197930
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Neuroblastoma
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Neuroblastoma--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Neuroblastoma--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Neuroblastoma: 46
# Proteins in Background: 1025
#
# age	label	Neuroblastoma	Background	p-value
0.0	0.0	0	151	0.001
6.1	6.1	0	51	0.163
15.7	15.7	0	107	0.011
29.6	29.6	0	239	0.000
44.2	44.2	0	1	1.000
89.1	89.1	0	13	1.000
97.4	97.4	8	238	0.474
176.1	176.1	2	8	0.046
220.2	220.2	0	4	1.000
324.5	324.5	0	9	1.000
361.2	361.2	0	9	1.000
454.6	454.6	1	29	1.000
535.7	535.7	17	83	0.000
797.0	797.0	0	7	1.000
842.0	842.0	0	5	1.000
910.0	910.0	15	63	0.000
937.0	937.0	3	8	0.004
#
# Mann-Whitney U test: U = 6.1e+03 (p = 2.81e-18)
#
# Average age of Neuroblastoma: 590.3
# Average age of Background: 169.9
#
# Median age of Neuroblastoma: 535.7
# Median age of Background: 29.6
