# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Uterine-Cervical-Neoplasms.txt 2015-01-18 23:02:32.680536
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Uterine-Cervical-Neoplasms
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Uterine-Cervical-Neoplasms--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Uterine-Cervical-Neoplasms--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Uterine-Cervical-Neoplasms: 58
# Proteins in Background: 1025
#
# age	label	Uterine-Cervical-Neoplasms	Background	p-value
0.0	0.0	0	151	0.000
6.1	6.1	0	51	0.110
15.7	15.7	0	107	0.003
29.6	29.6	2	239	0.000
44.2	44.2	0	1	1.000
89.1	89.1	0	13	1.000
97.4	97.4	6	238	0.016
176.1	176.1	2	8	0.071
220.2	220.2	0	4	1.000
324.5	324.5	0	9	1.000
361.2	361.2	2	9	0.088
454.6	454.6	4	29	0.076
535.7	535.7	23	83	0.000
797.0	797.0	1	7	0.336
842.0	842.0	0	5	1.000
910.0	910.0	14	63	0.000
937.0	937.0	4	8	0.001
#
# Mann-Whitney U test: U = 8.3e+03 (p = 3.94e-21)
#
# Average age of Uterine-Cervical-Neoplasms: 571.4
# Average age of Background: 169.9
#
# Median age of Uterine-Cervical-Neoplasms: 535.7
# Median age of Background: 29.6
