# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Adenoviridae-Infections.txt 2015-01-18 23:11:24.055582
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Adenoviridae-Infections
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Adenoviridae-Infections--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Adenoviridae-Infections--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Adenoviridae-Infections: 69
# Proteins in Background: 1025
#
# age	label	Adenoviridae-Infections	Background	p-value
0.0	0.0	1	151	0.000
6.1	6.1	2	51	0.572
15.7	15.7	2	107	0.038
29.6	29.6	5	239	0.001
44.2	44.2	0	1	1.000
89.1	89.1	0	13	1.000
97.4	97.4	23	238	0.054
176.1	176.1	0	8	1.000
220.2	220.2	0	4	1.000
324.5	324.5	0	9	1.000
361.2	361.2	1	9	0.467
454.6	454.6	5	29	0.040
535.7	535.7	18	83	0.000
797.0	797.0	0	7	1.000
842.0	842.0	0	5	1.000
910.0	910.0	10	63	0.007
937.0	937.0	2	8	0.096
#
# Mann-Whitney U test: U = 1.9e+04 (p = 1.95e-11)
#
# Average age of Adenoviridae-Infections: 372.2
# Average age of Background: 169.9
#
# Median age of Adenoviridae-Infections: 454.6
# Median age of Background: 29.6
