# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Adrenocortical-Carcinoma.txt 2015-01-18 22:37:06.593605
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Adrenocortical-Carcinoma
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Adrenocortical-Carcinoma--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Adrenocortical-Carcinoma--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Adrenocortical-Carcinoma: 60
# Proteins in Background: 1025
#
# age	label	Adrenocortical-Carcinoma	Background	p-value
0.0	0.0	0	151	0.000
6.1	6.1	0	51	0.067
15.7	15.7	0	107	0.002
29.6	29.6	0	239	0.000
44.2	44.2	0	1	1.000
89.1	89.1	0	13	1.000
97.4	97.4	9	238	0.155
176.1	176.1	1	8	0.384
220.2	220.2	0	4	1.000
324.5	324.5	0	9	1.000
361.2	361.2	0	9	1.000
454.6	454.6	2	29	0.685
535.7	535.7	22	83	0.000
797.0	797.0	3	7	0.006
842.0	842.0	2	5	0.030
910.0	910.0	18	63	0.000
937.0	937.0	3	8	0.009
#
# Mann-Whitney U test: U = 7.5e+03 (p = 9.07e-24)
#
# Average age of Adrenocortical-Carcinoma: 616.9
# Average age of Background: 169.9
#
# Median age of Adrenocortical-Carcinoma: 535.7
# Median age of Background: 29.6
