# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Aortic-Aneurysm,-Thoracic.txt 2015-01-18 22:38:00.854608
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Aortic-Aneurysm,-Thoracic
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Aortic-Aneurysm,-Thoracic--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Aortic-Aneurysm,-Thoracic--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Aortic-Aneurysm,-Thoracic: 15
# Proteins in Background: 1025
#
# age	label	Aortic-Aneurysm,-Thoracic	Background	p-value
0.0	0.0	0	151	0.146
6.1	6.1	0	51	1.000
15.7	15.7	0	107	0.389
29.6	29.6	0	239	0.029
44.2	44.2	0	1	1.000
89.1	89.1	0	13	1.000
97.4	97.4	0	238	0.029
176.1	176.1	0	8	1.000
220.2	220.2	0	4	1.000
324.5	324.5	0	9	1.000
361.2	361.2	0	9	1.000
454.6	454.6	1	29	0.352
535.7	535.7	6	83	0.001
797.0	797.0	0	7	1.000
842.0	842.0	0	5	1.000
910.0	910.0	8	63	0.000
937.0	937.0	0	8	1.000
#
# Mann-Whitney U test: U = 1.2e+03 (p = 7.44e-09)
#
# Average age of Aortic-Aneurysm,-Thoracic: 729.9
# Average age of Background: 169.9
#
# Median age of Aortic-Aneurysm,-Thoracic: 910.0
# Median age of Background: 29.6
