# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Arthritis,-Rheumatoid.txt 2015-01-18 22:38:18.815805
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Arthritis,-Rheumatoid
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Arthritis,-Rheumatoid--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Arthritis,-Rheumatoid--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Arthritis,-Rheumatoid: 18
# Proteins in Background: 1025
#
# age	label	Arthritis,-Rheumatoid	Background	p-value
0.0	0.0	0	151	0.093
6.1	6.1	0	51	1.000
15.7	15.7	0	107	0.244
29.6	29.6	0	239	0.011
44.2	44.2	0	1	1.000
89.1	89.1	1	13	0.207
97.4	97.4	1	238	0.091
176.1	176.1	0	8	1.000
220.2	220.2	0	4	1.000
324.5	324.5	0	9	1.000
361.2	361.2	0	9	1.000
454.6	454.6	3	29	0.012
535.7	535.7	9	83	0.000
797.0	797.0	0	7	1.000
842.0	842.0	0	5	1.000
910.0	910.0	4	63	0.021
937.0	937.0	0	8	1.000
#
# Mann-Whitney U test: U = 2.6e+03 (p = 6.45e-08)
#
# Average age of Arthritis,-Rheumatoid: 556.2
# Average age of Background: 169.9
#
# Median age of Arthritis,-Rheumatoid: 535.7
# Median age of Background: 29.6
