# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Autistic-Disorder.txt 2015-01-18 21:09:12.226951
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Autistic-Disorder
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Autistic-Disorder--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Autistic-Disorder--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-7-2	910.0	910.0
hsa-mir-484	97.4	97.4
hsa-mir-193b	910.0	910.0
hsa-mir-129-1	797.0	797.0
hsa-mir-106a	535.7	535.7
hsa-mir-106b	535.7	535.7
hsa-mir-15a	535.7	535.7
hsa-mir-15b	535.7	535.7
hsa-mir-381	97.4	97.4
hsa-mir-132	535.7	535.7
hsa-mir-181d	535.7	535.7
hsa-mir-21	454.6	454.6
hsa-mir-212	535.7	535.7
hsa-mir-146b	535.7	535.7
hsa-mir-550a-2	29.6	29.6
hsa-mir-550a-1	29.6	29.6
hsa-mir-652	97.4	97.4
hsa-mir-92a-2	910.0	910.0
hsa-mir-539	97.4	97.4
hsa-mir-598	97.4	97.4
hsa-mir-7-3	910.0	910.0
hsa-mir-7-1	910.0	910.0
hsa-mir-92a-1	910.0	910.0
hsa-mir-140	454.6	454.6
hsa-mir-181b-1	535.7	535.7
hsa-mir-363	454.6	454.6
hsa-mir-27a	535.7	535.7
hsa-mir-431	97.4	97.4
hsa-mir-93	535.7	535.7
hsa-mir-95	97.4	97.4
hsa-mir-129-2	797.0	797.0
hsa-mir-23a	535.7	535.7
hsa-mir-23b	535.7	535.7
hsa-mir-148b	535.7	535.7
hsa-mir-432	97.4	97.4
hsa-mir-146a	535.7	535.7
