# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Breast-Neoplasms.txt 2015-01-18 21:09:56.364853
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Breast-Neoplasms
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Breast-Neoplasms--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Breast-Neoplasms--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Breast-Neoplasms: 216
# Proteins in Background: 1025
#
# age	label	Breast-Neoplasms	Background	p-value
0.0	0.0	2	151	0.000
6.1	6.1	2	51	0.001
15.7	15.7	5	107	0.000
29.6	29.6	22	239	0.000
44.2	44.2	0	1	1.000
89.1	89.1	1	13	0.322
97.4	97.4	45	238	0.366
176.1	176.1	1	8	1.000
220.2	220.2	0	4	0.585
324.5	324.5	0	9	0.217
361.2	361.2	8	9	0.000
454.6	454.6	11	29	0.035
535.7	535.7	56	83	0.000
797.0	797.0	6	7	0.000
842.0	842.0	2	5	0.285
910.0	910.0	49	63	0.000
937.0	937.0	6	8	0.002
#
# Mann-Whitney U test: U = 5e+04 (p = 3.1e-38)
#
# Average age of Breast-Neoplasms: 462.8
# Average age of Background: 169.9
#
# Median age of Breast-Neoplasms: 535.7
# Median age of Background: 29.6
