# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Carcinoma,-Basal-Cell.txt 2015-01-18 22:39:35.305843
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Carcinoma,-Basal-Cell
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Carcinoma,-Basal-Cell--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Carcinoma,-Basal-Cell--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Carcinoma,-Basal-Cell: 22
# Proteins in Background: 1025
#
# age	label	Carcinoma,-Basal-Cell	Background	p-value
0.0	0.0	0	151	0.061
6.1	6.1	0	51	0.622
15.7	15.7	0	107	0.156
29.6	29.6	2	239	0.131
44.2	44.2	0	1	1.000
89.1	89.1	1	13	0.247
97.4	97.4	2	238	0.131
176.1	176.1	0	8	1.000
220.2	220.2	0	4	1.000
324.5	324.5	0	9	1.000
361.2	361.2	0	9	1.000
454.6	454.6	3	29	0.022
535.7	535.7	10	83	0.000
797.0	797.0	0	7	1.000
842.0	842.0	1	5	0.103
910.0	910.0	2	63	0.641
937.0	937.0	1	8	0.160
#
# Mann-Whitney U test: U = 4.3e+03 (p = 2.22e-07)
#
# Average age of Carcinoma,-Basal-Cell: 484.7
# Average age of Background: 169.9
#
# Median age of Carcinoma,-Basal-Cell: 535.7
# Median age of Background: 29.6
