# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Carcinoma,-Non-Small-Cell-Lung.txt 2015-01-18 21:10:33.577455
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Carcinoma,-Non-Small-Cell-Lung
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Carcinoma,-Non-Small-Cell-Lung--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Carcinoma,-Non-Small-Cell-Lung--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Carcinoma,-Non-Small-Cell-Lung: 102
# Proteins in Background: 1025
#
# age	label	Carcinoma,-Non-Small-Cell-Lung	Background	p-value
0.0	0.0	0	151	0.000
6.1	6.1	1	51	0.053
15.7	15.7	1	107	0.000
29.6	29.6	6	239	0.000
44.2	44.2	0	1	1.000
89.1	89.1	0	13	0.631
97.4	97.4	11	238	0.001
176.1	176.1	1	8	0.569
220.2	220.2	1	4	0.343
324.5	324.5	0	9	0.611
361.2	361.2	0	9	0.611
454.6	454.6	7	29	0.019
535.7	535.7	32	83	0.000
797.0	797.0	4	7	0.003
842.0	842.0	3	5	0.008
910.0	910.0	30	63	0.000
937.0	937.0	5	8	0.000
#
# Mann-Whitney U test: U = 1.6e+04 (p = 2.23e-31)
#
# Average age of Carcinoma,-Non-Small-Cell-Lung: 585.2
# Average age of Background: 169.9
#
# Median age of Carcinoma,-Non-Small-Cell-Lung: 535.7
# Median age of Background: 29.6
