# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Carcinoma,-Renal-Cell.txt 2015-01-18 22:40:14.427532
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Carcinoma,-Renal-Cell
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Carcinoma,-Renal-Cell--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Carcinoma,-Renal-Cell--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Carcinoma,-Renal-Cell: 109
# Proteins in Background: 1025
#
# age	label	Carcinoma,-Renal-Cell	Background	p-value
0.0	0.0	0	151	0.000
6.1	6.1	1	51	0.035
15.7	15.7	3	107	0.003
29.6	29.6	4	239	0.000
44.2	44.2	0	1	1.000
89.1	89.1	0	13	0.382
97.4	97.4	17	238	0.054
176.1	176.1	0	8	1.000
220.2	220.2	0	4	1.000
324.5	324.5	0	9	0.609
361.2	361.2	4	9	0.010
454.6	454.6	10	29	0.000
535.7	535.7	31	83	0.000
797.0	797.0	4	7	0.003
842.0	842.0	0	5	1.000
910.0	910.0	31	63	0.000
937.0	937.0	4	8	0.006
#
# Mann-Whitney U test: U = 1.9e+04 (p = 3.21e-30)
#
# Average age of Carcinoma,-Renal-Cell: 546.5
# Average age of Background: 169.9
#
# Median age of Carcinoma,-Renal-Cell: 535.7
# Median age of Background: 29.6
