# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Colonic-Neoplasms.txt 2015-01-18 21:12:43.068041
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Colonic-Neoplasms
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Colonic-Neoplasms--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Colonic-Neoplasms--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Colonic-Neoplasms: 86
# Proteins in Background: 1025
#
# age	label	Colonic-Neoplasms	Background	p-value
0.0	0.0	0	151	0.000
6.1	6.1	1	51	0.117
15.7	15.7	2	107	0.005
29.6	29.6	3	239	0.000
44.2	44.2	0	1	1.000
89.1	89.1	1	13	1.000
97.4	97.4	9	238	0.003
176.1	176.1	0	8	1.000
220.2	220.2	0	4	1.000
324.5	324.5	1	9	0.547
361.2	361.2	2	9	0.170
454.6	454.6	7	29	0.008
535.7	535.7	28	83	0.000
797.0	797.0	1	7	0.460
842.0	842.0	2	5	0.059
910.0	910.0	25	63	0.000
937.0	937.0	4	8	0.002
#
# Mann-Whitney U test: U = 1.4e+04 (p = 2.61e-26)
#
# Average age of Colonic-Neoplasms: 573.3
# Average age of Background: 169.9
#
# Median age of Colonic-Neoplasms: 535.7
# Median age of Background: 29.6
