# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Colorectal-Neoplasms.txt 2015-01-18 22:43:01.588607
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Colorectal-Neoplasms
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Colorectal-Neoplasms--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Colorectal-Neoplasms--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-7-2	910.0	910.0
hsa-mir-122	454.6	454.6
hsa-mir-126	797.0	797.0
hsa-mir-127	97.4	97.4
hsa-mir-19a	535.7	535.7
hsa-mir-125b-1	937.0	937.0
hsa-mir-125b-2	937.0	937.0
hsa-mir-520a	29.6	29.6
hsa-mir-1915	15.7	15.7
hsa-mir-195	535.7	535.7
hsa-mir-320a	97.4	97.4
hsa-mir-200b	910.0	910.0
hsa-mir-135a-2	797.0	797.0
hsa-mir-135a-1	797.0	797.0
hsa-mir-200a	910.0	910.0
hsa-mir-30a	535.7	535.7
hsa-mir-99a	937.0	937.0
hsa-mir-193a	910.0	910.0
hsa-mir-129-1	797.0	797.0
hsa-mir-208a	454.6	454.6
hsa-mir-18b	535.7	535.7
hsa-mir-17	535.7	535.7
hsa-mir-608	15.7	15.7
hsa-mir-145	535.7	535.7
hsa-mir-141	910.0	910.0
hsa-mir-16-2	535.7	535.7
hsa-mir-34a	910.0	910.0
hsa-mir-34b	910.0	910.0
hsa-mir-34c	910.0	910.0
hsa-mir-216b	910.0	910.0
hsa-mir-345	97.4	97.4
hsa-mir-340	97.4	97.4
hsa-mir-342	97.4	97.4
hsa-mir-106a	535.7	535.7
hsa-mir-211	535.7	535.7
hsa-mir-206	910.0	910.0
hsa-mir-328	97.4	97.4
hsa-mir-29a	910.0	910.0
hsa-mir-646	15.7	15.7
hsa-mir-760	97.4	97.4
hsa-mir-297	89.1	89.1
hsa-mir-1246	15.7	15.7
hsa-mir-194-1	535.7	535.7
hsa-mir-194-2	535.7	535.7
hsa-mir-26a-2	535.7	535.7
hsa-mir-26a-1	535.7	535.7
hsa-mir-182	910.0	910.0
hsa-mir-183	842.0	842.0
hsa-mir-186	220.2	220.2
hsa-mir-185	97.4	97.4
hsa-mir-124-2	910.0	910.0
hsa-let-7b	910.0	910.0
hsa-let-7c	910.0	910.0
hsa-mir-423	97.4	97.4
hsa-mir-542	97.4	97.4
hsa-mir-18a	535.7	535.7
hsa-mir-133b	910.0	910.0
hsa-mir-335	97.4	97.4
hsa-mir-147b	454.6	454.6
hsa-mir-339	97.4	97.4
hsa-mir-338	454.6	454.6
hsa-mir-337	97.4	97.4
hsa-mir-330	97.4	97.4
hsa-mir-150	454.6	454.6
hsa-mir-152	535.7	535.7
hsa-mir-155	454.6	454.6
hsa-mir-20a	535.7	535.7
hsa-mir-137	910.0	910.0
hsa-mir-33a	910.0	910.0
hsa-mir-21	454.6	454.6
hsa-mir-22	842.0	842.0
hsa-mir-1303	15.7	15.7
hsa-mir-1275	15.7	15.7
hsa-mir-1179	97.4	97.4
hsa-mir-146b	535.7	535.7
hsa-mir-373	29.6	29.6
hsa-mir-372	97.4	97.4
hsa-mir-375	910.0	910.0
hsa-mir-422a	29.6	29.6
hsa-mir-181a-1	535.7	535.7
hsa-mir-2110	6.1	6.1
hsa-mir-215	535.7	535.7
hsa-mir-210	910.0	910.0
hsa-mir-92b	910.0	910.0
hsa-mir-574	97.4	97.4
hsa-mir-652	97.4	97.4
