# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Colorectal-Neoplasms.txt 2015-01-18 21:12:51.780626
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Colorectal-Neoplasms
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Colorectal-Neoplasms--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Colorectal-Neoplasms--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Colorectal-Neoplasms: 156
# Proteins in Background: 1025
#
# age	label	Colorectal-Neoplasms	Background	p-value
0.0	0.0	0	151	0.000
6.1	6.1	2	51	0.016
15.7	15.7	6	107	0.002
29.6	29.6	6	239	0.000
44.2	44.2	0	1	1.000
89.1	89.1	1	13	0.704
97.4	97.4	27	238	0.064
176.1	176.1	2	8	0.350
220.2	220.2	1	4	0.484
324.5	324.5	0	9	0.370
361.2	361.2	1	9	1.000
454.6	454.6	11	29	0.002
535.7	535.7	45	83	0.000
797.0	797.0	6	7	0.000
842.0	842.0	2	5	0.169
910.0	910.0	42	63	0.000
937.0	937.0	4	8	0.022
#
# Mann-Whitney U test: U = 3e+04 (p = 5.75e-37)
#
# Average age of Colorectal-Neoplasms: 522.3
# Average age of Background: 169.9
#
# Median age of Colorectal-Neoplasms: 535.7
# Median age of Background: 29.6
