# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Coronary-Artery-Disease.txt 2015-01-18 22:43:07.157155
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Coronary-Artery-Disease
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Coronary-Artery-Disease--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Coronary-Artery-Disease--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Coronary-Artery-Disease: 18
# Proteins in Background: 1025
#
# age	label	Coronary-Artery-Disease	Background	p-value
0.0	0.0	0	151	0.093
6.1	6.1	0	51	1.000
15.7	15.7	0	107	0.244
29.6	29.6	1	239	0.091
44.2	44.2	1	1	0.018
89.1	89.1	0	13	1.000
97.4	97.4	3	238	0.778
176.1	176.1	0	8	1.000
220.2	220.2	0	4	1.000
324.5	324.5	0	9	1.000
361.2	361.2	0	9	1.000
454.6	454.6	2	29	0.089
535.7	535.7	5	83	0.011
797.0	797.0	1	7	0.117
842.0	842.0	0	5	1.000
910.0	910.0	5	63	0.003
937.0	937.0	0	8	1.000
#
# Mann-Whitney U test: U = 3.4e+03 (p = 1.34e-06)
#
# Average age of Coronary-Artery-Disease: 516.7
# Average age of Background: 169.9
#
# Median age of Coronary-Artery-Disease: 535.7
# Median age of Background: 29.6
