# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Diabetes-Mellitus,-Type-2.txt 2015-01-18 21:13:37.729302
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Diabetes-Mellitus,-Type-2
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Diabetes-Mellitus,-Type-2--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Diabetes-Mellitus,-Type-2--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Diabetes-Mellitus,-Type-2: 14
# Proteins in Background: 1025
#
# age	label	Diabetes-Mellitus,-Type-2	Background	p-value
0.0	0.0	0	151	0.244
6.1	6.1	0	51	1.000
15.7	15.7	0	107	0.384
29.6	29.6	0	239	0.049
44.2	44.2	0	1	1.000
89.1	89.1	0	13	1.000
97.4	97.4	2	238	0.541
176.1	176.1	0	8	1.000
220.2	220.2	0	4	1.000
324.5	324.5	0	9	1.000
361.2	361.2	1	9	0.117
454.6	454.6	2	29	0.057
535.7	535.7	7	83	0.000
797.0	797.0	1	7	0.092
842.0	842.0	0	5	1.000
910.0	910.0	0	63	1.000
937.0	937.0	1	8	0.104
#
# Mann-Whitney U test: U = 2.2e+03 (p = 3.02e-06)
#
# Average age of Diabetes-Mellitus,-Type-2: 496.4
# Average age of Background: 169.9
#
# Median age of Diabetes-Mellitus,-Type-2: 535.7
# Median age of Background: 29.6
