# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Eosinophilic-Esophagitis.txt 2015-01-18 22:45:33.486676
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Eosinophilic-Esophagitis
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Eosinophilic-Esophagitis--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Eosinophilic-Esophagitis--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Eosinophilic-Esophagitis: 27
# Proteins in Background: 1025
#
# age	label	Eosinophilic-Esophagitis	Background	p-value
0.0	0.0	0	151	0.024
6.1	6.1	0	51	0.640
15.7	15.7	0	107	0.103
29.6	29.6	0	239	0.001
44.2	44.2	0	1	1.000
89.1	89.1	0	13	1.000
97.4	97.4	3	238	0.167
176.1	176.1	0	8	1.000
220.2	220.2	0	4	1.000
324.5	324.5	0	9	1.000
361.2	361.2	0	9	1.000
454.6	454.6	3	29	0.038
535.7	535.7	10	83	0.000
797.0	797.0	0	7	1.000
842.0	842.0	0	5	1.000
910.0	910.0	11	63	0.000
937.0	937.0	0	8	1.000
#
# Mann-Whitney U test: U = 3.3e+03 (p = 2.75e-12)
#
# Average age of Eosinophilic-Esophagitis: 630.5
# Average age of Background: 169.9
#
# Median age of Eosinophilic-Esophagitis: 535.7
# Median age of Background: 29.6
