# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Glioblastoma.txt 2015-01-18 21:16:07.732409
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Glioblastoma
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Glioblastoma--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Glioblastoma--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Glioblastoma: 110
# Proteins in Background: 1025
#
# age	label	Glioblastoma	Background	p-value
0.0	0.0	0	151	0.000
6.1	6.1	0	51	0.004
15.7	15.7	1	107	0.000
29.6	29.6	0	239	0.000
44.2	44.2	0	1	1.000
89.1	89.1	0	13	0.382
97.4	97.4	18	238	0.074
176.1	176.1	1	8	0.598
220.2	220.2	1	4	0.365
324.5	324.5	1	9	1.000
361.2	361.2	6	9	0.000
454.6	454.6	9	29	0.002
535.7	535.7	38	83	0.000
797.0	797.0	0	7	1.000
842.0	842.0	2	5	0.092
910.0	910.0	28	63	0.000
937.0	937.0	5	8	0.001
#
# Mann-Whitney U test: U = 1.6e+04 (p = 1.53e-35)
#
# Average age of Glioblastoma: 554.1
# Average age of Background: 169.9
#
# Median age of Glioblastoma: 535.7
# Median age of Background: 29.6
