# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Glioma.txt 2015-01-18 21:16:11.255362
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Glioma
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Glioma--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Glioma--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Glioma: 79
# Proteins in Background: 1025
#
# age	label	Glioma	Background	p-value
0.0	0.0	0	151	0.000
6.1	6.1	0	51	0.028
15.7	15.7	0	107	0.000
29.6	29.6	1	239	0.000
44.2	44.2	0	1	1.000
89.1	89.1	0	13	0.615
97.4	97.4	8	238	0.003
176.1	176.1	0	8	1.000
220.2	220.2	0	4	1.000
324.5	324.5	0	9	1.000
361.2	361.2	6	9	0.000
454.6	454.6	3	29	0.484
535.7	535.7	41	83	0.000
797.0	797.0	2	7	0.096
842.0	842.0	1	5	0.331
910.0	910.0	15	63	0.000
937.0	937.0	2	8	0.121
#
# Mann-Whitney U test: U = 1.1e+04 (p = 3.85e-28)
#
# Average age of Glioma: 560.3
# Average age of Background: 169.9
#
# Median age of Glioma: 535.7
# Median age of Background: 29.6
