# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/HIV-Infections.txt 2015-01-18 22:48:08.061311
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = HIV-Infections
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--HIV-Infections--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--HIV-Infections--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in HIV-Infections: 6
# Proteins in Background: 1025
#
# age	label	HIV-Infections	Background	p-value
0.0	0.0	0	151	0.600
6.1	6.1	0	51	1.000
15.7	15.7	0	107	1.000
29.6	29.6	0	239	0.345
44.2	44.2	0	1	1.000
89.1	89.1	0	13	1.000
97.4	97.4	1	238	1.000
176.1	176.1	1	8	0.046
220.2	220.2	0	4	1.000
324.5	324.5	0	9	1.000
361.2	361.2	0	9	1.000
454.6	454.6	1	29	0.159
535.7	535.7	1	83	0.398
797.0	797.0	0	7	1.000
842.0	842.0	0	5	1.000
910.0	910.0	0	63	1.000
937.0	937.0	2	8	0.001
#
# Mann-Whitney U test: U = 8.8e+02 (p = 0.00108)
#
# Average age of HIV-Infections: 523.0
# Average age of Background: 169.9
#
# Median age of HIV-Infections: 495.2
# Median age of Background: 29.6
