# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Hand,-Foot-and-Mouth-Disease.txt 2015-01-18 22:48:24.216897
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Hand,-Foot-and-Mouth-Disease
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Hand,-Foot-and-Mouth-Disease--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Hand,-Foot-and-Mouth-Disease--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Hand,-Foot-and-Mouth-Disease: 7
# Proteins in Background: 1025
#
# age	label	Hand,-Foot-and-Mouth-Disease	Background	p-value
0.0	0.0	0	151	0.602
6.1	6.1	0	51	1.000
15.7	15.7	0	107	1.000
29.6	29.6	0	239	0.364
44.2	44.2	0	1	1.000
89.1	89.1	0	13	1.000
97.4	97.4	4	238	0.055
176.1	176.1	0	8	1.000
220.2	220.2	0	4	1.000
324.5	324.5	0	9	1.000
361.2	361.2	0	9	1.000
454.6	454.6	1	29	0.182
535.7	535.7	2	83	0.104
797.0	797.0	0	7	1.000
842.0	842.0	0	5	1.000
910.0	910.0	0	63	1.000
937.0	937.0	0	8	1.000
#
# Mann-Whitney U test: U = 1.8e+03 (p = 0.0107)
#
# Average age of Hand,-Foot-and-Mouth-Disease: 273.7
# Average age of Background: 169.9
#
# Median age of Hand,-Foot-and-Mouth-Disease: 97.4
# Median age of Background: 29.6
