# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Hepatitis-C.txt 2015-01-18 21:17:48.971785
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Hepatitis-C
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Hepatitis-C--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Hepatitis-C--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-122	454.6	454.6
hsa-mir-30a	535.7	535.7
hsa-mir-30b	535.7	535.7
hsa-mir-30d	535.7	535.7
hsa-mir-29b-2	910.0	910.0
hsa-mir-16-2	535.7	535.7
hsa-mir-34a	910.0	910.0
hsa-mir-448	97.4	97.4
hsa-mir-24-1	535.7	535.7
hsa-mir-29c	910.0	910.0
hsa-mir-29a	910.0	910.0
hsa-mir-296	97.4	97.4
hsa-let-7b	910.0	910.0
hsa-mir-155	454.6	454.6
hsa-mir-20a	535.7	535.7
hsa-mir-21	454.6	454.6
hsa-mir-30c-2	535.7	535.7
hsa-mir-30c-1	535.7	535.7
hsa-mir-449a	842.0	842.0
hsa-mir-16-1	535.7	535.7
hsa-mir-1181	15.7	15.7
hsa-mir-196b	535.7	535.7
hsa-mir-196a-2	535.7	535.7
hsa-mir-29b-1	910.0	910.0
hsa-mir-149	97.4	97.4
hsa-mir-1-1	910.0	910.0
hsa-mir-1-2	910.0	910.0
hsa-mir-27a	535.7	535.7
hsa-mir-431	97.4	97.4
hsa-mir-638	29.6	29.6
hsa-mir-23a	535.7	535.7
hsa-mir-196a-1	535.7	535.7
hsa-mir-491	97.4	97.4
hsa-mir-142	454.6	454.6
hsa-mir-199a-1	535.7	535.7
hsa-mir-199a-2	535.7	535.7
