# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Hepatitis-C.txt 2015-01-18 21:17:48.971785
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Hepatitis-C
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Hepatitis-C--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Hepatitis-C--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Hepatitis-C: 36
# Proteins in Background: 1025
#
# age	label	Hepatitis-C	Background	p-value
0.0	0.0	0	151	0.006
6.1	6.1	0	51	0.253
15.7	15.7	1	107	0.166
29.6	29.6	1	239	0.001
44.2	44.2	0	1	1.000
89.1	89.1	0	13	1.000
97.4	97.4	5	238	0.228
176.1	176.1	0	8	1.000
220.2	220.2	0	4	1.000
324.5	324.5	0	9	1.000
361.2	361.2	0	9	1.000
454.6	454.6	4	29	0.016
535.7	535.7	16	83	0.000
797.0	797.0	0	7	1.000
842.0	842.0	1	5	0.164
910.0	910.0	8	63	0.001
937.0	937.0	0	8	1.000
#
# Mann-Whitney U test: U = 6.2e+03 (p = 2.91e-12)
#
# Average age of Hepatitis-C: 529.0
# Average age of Background: 169.9
#
# Median age of Hepatitis-C: 535.7
# Median age of Background: 29.6
