# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Inflammatory-Bowel-Diseases.txt 2015-01-18 21:18:31.256442
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Inflammatory-Bowel-Diseases
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Inflammatory-Bowel-Diseases--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Inflammatory-Bowel-Diseases--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Inflammatory-Bowel-Diseases: 7
# Proteins in Background: 1025
#
# age	label	Inflammatory-Bowel-Diseases	Background	p-value
0.0	0.0	0	151	0.602
6.1	6.1	1	51	0.301
15.7	15.7	0	107	1.000
29.6	29.6	0	239	0.364
44.2	44.2	0	1	1.000
89.1	89.1	0	13	1.000
97.4	97.4	1	238	1.000
176.1	176.1	0	8	1.000
220.2	220.2	0	4	1.000
324.5	324.5	0	9	1.000
361.2	361.2	0	9	1.000
454.6	454.6	2	29	0.015
535.7	535.7	3	83	0.014
797.0	797.0	0	7	1.000
842.0	842.0	0	5	1.000
910.0	910.0	0	63	1.000
937.0	937.0	0	8	1.000
#
# Mann-Whitney U test: U = 1.9e+03 (p = 0.016)
#
# Average age of Inflammatory-Bowel-Diseases: 374.3
# Average age of Background: 169.9
#
# Median age of Inflammatory-Bowel-Diseases: 454.6
# Median age of Background: 29.6
