# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Lupus-Vulgaris.txt 2015-01-18 22:53:47.374986
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Lupus-Vulgaris
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Lupus-Vulgaris--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Lupus-Vulgaris--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Lupus-Vulgaris: 57
# Proteins in Background: 1025
#
# age	label	Lupus-Vulgaris	Background	p-value
0.0	0.0	0	151	0.000
6.1	6.1	1	51	0.356
15.7	15.7	5	107	0.825
29.6	29.6	17	239	0.259
44.2	44.2	1	1	0.056
89.1	89.1	0	13	1.000
97.4	97.4	15	238	0.628
176.1	176.1	0	8	1.000
220.2	220.2	0	4	1.000
324.5	324.5	0	9	1.000
361.2	361.2	0	9	1.000
454.6	454.6	4	29	0.072
535.7	535.7	6	83	0.454
797.0	797.0	0	7	1.000
842.0	842.0	0	5	1.000
910.0	910.0	7	63	0.078
937.0	937.0	1	8	0.368
#
# Mann-Whitney U test: U = 2.2e+04 (p = 0.000994)
#
# Average age of Lupus-Vulgaris: 253.2
# Average age of Background: 169.9
#
# Median age of Lupus-Vulgaris: 97.4
# Median age of Background: 29.6
