# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Melanoma.txt 2015-01-18 22:54:41.920979
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Melanoma
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Melanoma--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Melanoma--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-7-2	910.0	910.0
hsa-mir-122	454.6	454.6
hsa-mir-126	797.0	797.0
hsa-mir-19a	535.7	535.7
hsa-mir-125b-1	937.0	937.0
hsa-mir-125b-2	937.0	937.0
hsa-mir-488	97.4	97.4
hsa-let-7f-2	910.0	910.0
hsa-mir-509-2	97.4	97.4
hsa-mir-509-3	97.4	97.4
hsa-mir-509-1	97.4	97.4
hsa-mir-125a	937.0	937.0
hsa-mir-195	535.7	535.7
hsa-mir-191	361.2	361.2
hsa-mir-320a	97.4	97.4
hsa-mir-200b	910.0	910.0
hsa-mir-200a	910.0	910.0
hsa-mir-506	97.4	97.4
hsa-mir-30a	535.7	535.7
hsa-mir-30b	535.7	535.7
hsa-mir-30d	535.7	535.7
hsa-mir-30e	535.7	535.7
hsa-mir-99a	937.0	937.0
hsa-mir-29b-2	910.0	910.0
hsa-mir-193b	910.0	910.0
hsa-mir-193a	910.0	910.0
hsa-mir-18b	535.7	535.7
hsa-mir-17	535.7	535.7
hsa-mir-145	535.7	535.7
hsa-mir-141	910.0	910.0
hsa-mir-510	97.4	97.4
hsa-mir-16-2	535.7	535.7
hsa-mir-34a	910.0	910.0
hsa-mir-34b	910.0	910.0
hsa-mir-34c	910.0	910.0
hsa-mir-216a	910.0	910.0
hsa-mir-933	29.6	29.6
hsa-mir-138-2	535.7	535.7
hsa-mir-138-1	535.7	535.7
hsa-mir-342	97.4	97.4
hsa-mir-106a	535.7	535.7
hsa-mir-106b	535.7	535.7
hsa-mir-519b	29.6	29.6
hsa-mir-15a	535.7	535.7
hsa-mir-211	535.7	535.7
hsa-mir-15b	535.7	535.7
hsa-mir-205	535.7	535.7
hsa-mir-204	535.7	535.7
hsa-mir-328	97.4	97.4
hsa-mir-29a	910.0	910.0
hsa-mir-646	15.7	15.7
hsa-mir-767	97.4	97.4
hsa-mir-296	97.4	97.4
hsa-mir-1249	97.4	97.4
hsa-mir-194-1	535.7	535.7
hsa-mir-26a-2	535.7	535.7
hsa-mir-26a-1	535.7	535.7
hsa-mir-182	910.0	910.0
hsa-mir-183	842.0	842.0
hsa-mir-186	220.2	220.2
hsa-mir-124-2	910.0	910.0
hsa-let-7b	910.0	910.0
hsa-let-7c	910.0	910.0
hsa-mir-383	361.2	361.2
hsa-let-7g	910.0	910.0
hsa-mir-18a	535.7	535.7
hsa-let-7d	910.0	910.0
hsa-mir-339	97.4	97.4
hsa-mir-338	454.6	454.6
hsa-mir-330	97.4	97.4
hsa-mir-302c	361.2	361.2
hsa-mir-155	454.6	454.6
hsa-mir-20a	535.7	535.7
hsa-mir-137	910.0	910.0
hsa-mir-153-2	910.0	910.0
hsa-mir-21	454.6	454.6
hsa-mir-22	842.0	842.0
hsa-mir-517a	29.6	29.6
hsa-mir-501	97.4	97.4
hsa-mir-146b	535.7	535.7
hsa-mir-375	910.0	910.0
hsa-mir-422a	29.6	29.6
hsa-mir-181a-1	535.7	535.7
hsa-mir-550a-2	29.6	29.6
hsa-mir-550a-1	29.6	29.6
hsa-mir-217	797.0	797.0
hsa-mir-214	454.6	454.6
