# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Melanoma.txt 2015-01-18 21:21:37.114954
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Melanoma
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Melanoma--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Melanoma--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Melanoma: 148
# Proteins in Background: 1025
#
# age	label	Melanoma	Background	p-value
0.0	0.0	0	151	0.000
6.1	6.1	0	51	0.001
15.7	15.7	2	107	0.000
29.6	29.6	10	239	0.000
44.2	44.2	0	1	1.000
89.1	89.1	0	13	0.234
97.4	97.4	25	238	0.058
176.1	176.1	0	8	0.611
220.2	220.2	1	4	0.465
324.5	324.5	0	9	0.372
361.2	361.2	7	9	0.000
454.6	454.6	6	29	0.293
535.7	535.7	45	83	0.000
797.0	797.0	3	7	0.066
842.0	842.0	2	5	0.154
910.0	910.0	43	63	0.000
937.0	937.0	4	8	0.018
#
# Mann-Whitney U test: U = 2.7e+04 (p = 8.05e-39)
#
# Average age of Melanoma: 535.8
# Average age of Background: 169.9
#
# Median age of Melanoma: 535.7
# Median age of Background: 29.6
