# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Multiple-Myeloma.txt 2015-01-18 21:21:59.342132
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Multiple-Myeloma
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Multiple-Myeloma--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Multiple-Myeloma--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Multiple-Myeloma: 32
# Proteins in Background: 1025
#
# age	label	Multiple-Myeloma	Background	p-value
0.0	0.0	0	151	0.010
6.1	6.1	1	51	1.000
15.7	15.7	0	107	0.041
29.6	29.6	2	239	0.018
44.2	44.2	0	1	1.000
89.1	89.1	0	13	1.000
97.4	97.4	2	238	0.018
176.1	176.1	0	8	1.000
220.2	220.2	0	4	1.000
324.5	324.5	0	9	1.000
361.2	361.2	0	9	1.000
454.6	454.6	2	29	0.228
535.7	535.7	19	83	0.000
797.0	797.0	0	7	1.000
842.0	842.0	0	5	1.000
910.0	910.0	3	63	0.441
937.0	937.0	3	8	0.001
#
# Mann-Whitney U test: U = 5.6e+03 (p = 5.51e-11)
#
# Average age of Multiple-Myeloma: 527.8
# Average age of Background: 169.9
#
# Median age of Multiple-Myeloma: 535.7
# Median age of Background: 29.6
