# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Multiple-Sclerosis.txt 2015-01-18 21:22:02.810027
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Multiple-Sclerosis
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Multiple-Sclerosis--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Multiple-Sclerosis--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Multiple-Sclerosis: 26
# Proteins in Background: 1025
#
# age	label	Multiple-Sclerosis	Background	p-value
0.0	0.0	0	151	0.024
6.1	6.1	0	51	0.635
15.7	15.7	1	107	0.509
29.6	29.6	3	239	0.237
44.2	44.2	0	1	1.000
89.1	89.1	0	13	1.000
97.4	97.4	2	238	0.061
176.1	176.1	0	8	1.000
220.2	220.2	0	4	1.000
324.5	324.5	1	9	0.207
361.2	361.2	0	9	1.000
454.6	454.6	5	29	0.001
535.7	535.7	8	83	0.001
797.0	797.0	0	7	1.000
842.0	842.0	1	5	0.121
910.0	910.0	5	63	0.018
937.0	937.0	0	8	1.000
#
# Mann-Whitney U test: U = 5.6e+03 (p = 1.59e-07)
#
# Average age of Multiple-Sclerosis: 483.6
# Average age of Background: 169.9
#
# Median age of Multiple-Sclerosis: 535.7
# Median age of Background: 29.6
