# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Muscular-Disorders,-Atrophic.txt 2015-01-18 22:55:15.618990
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Muscular-Disorders,-Atrophic
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Muscular-Disorders,-Atrophic--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Muscular-Disorders,-Atrophic--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Muscular-Disorders,-Atrophic: 48
# Proteins in Background: 1025
#
# age	label	Muscular-Disorders,-Atrophic	Background	p-value
0.0	0.0	0	151	0.001
6.1	6.1	0	51	0.166
15.7	15.7	0	107	0.007
29.6	29.6	0	239	0.000
44.2	44.2	0	1	1.000
89.1	89.1	0	13	1.000
97.4	97.4	13	238	0.488
176.1	176.1	2	8	0.050
220.2	220.2	0	4	1.000
324.5	324.5	0	9	1.000
361.2	361.2	0	9	1.000
454.6	454.6	5	29	0.009
535.7	535.7	17	83	0.000
797.0	797.0	1	7	0.286
842.0	842.0	1	5	0.214
910.0	910.0	6	63	0.112
937.0	937.0	3	8	0.005
#
# Mann-Whitney U test: U = 8.3e+03 (p = 1.84e-15)
#
# Average age of Muscular-Disorders,-Atrophic: 477.3
# Average age of Background: 169.9
#
# Median age of Muscular-Disorders,-Atrophic: 535.7
# Median age of Background: 29.6
