# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Mycosis-Fungoides.txt 2015-01-18 22:55:37.758513
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Mycosis-Fungoides
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Mycosis-Fungoides--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Mycosis-Fungoides--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-let-7f-2	910.0	910.0
hsa-let-7d	910.0	910.0
hsa-mir-155	454.6	454.6
hsa-mir-92a-2	910.0	910.0
hsa-mir-92a-1	910.0	910.0
hsa-let-7a-2	910.0	910.0
hsa-let-7a-3	910.0	910.0
hsa-let-7a-1	910.0	910.0
hsa-mir-93	535.7	535.7
hsa-let-7f-1	910.0	910.0
