# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Myelodysplastic-Syndromes.txt 2015-01-18 21:22:27.873884
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Myelodysplastic-Syndromes
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Myelodysplastic-Syndromes--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Myelodysplastic-Syndromes--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Myelodysplastic-Syndromes: 39
# Proteins in Background: 1025
#
# age	label	Myelodysplastic-Syndromes	Background	p-value
0.0	0.0	0	151	0.004
6.1	6.1	0	51	0.255
15.7	15.7	0	107	0.028
29.6	29.6	1	239	0.001
44.2	44.2	0	1	1.000
89.1	89.1	0	13	1.000
97.4	97.4	2	238	0.003
176.1	176.1	0	8	1.000
220.2	220.2	0	4	1.000
324.5	324.5	0	9	1.000
361.2	361.2	0	9	1.000
454.6	454.6	2	29	0.303
535.7	535.7	14	83	0.000
797.0	797.0	0	7	1.000
842.0	842.0	0	5	1.000
910.0	910.0	18	63	0.000
937.0	937.0	2	8	0.034
#
# Mann-Whitney U test: U = 4.1e+03 (p = 6.05e-18)
#
# Average age of Myelodysplastic-Syndromes: 689.4
# Average age of Background: 169.9
#
# Median age of Myelodysplastic-Syndromes: 910.0
# Median age of Background: 29.6
