# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Osteosarcoma.txt 2015-01-18 22:57:33.403724
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Osteosarcoma
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Osteosarcoma--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Osteosarcoma--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Osteosarcoma: 48
# Proteins in Background: 1025
#
# age	label	Osteosarcoma	Background	p-value
0.0	0.0	0	151	0.001
6.1	6.1	0	51	0.166
15.7	15.7	0	107	0.007
29.6	29.6	0	239	0.000
44.2	44.2	0	1	1.000
89.1	89.1	0	13	1.000
97.4	97.4	6	238	0.080
176.1	176.1	0	8	1.000
220.2	220.2	0	4	1.000
324.5	324.5	0	9	1.000
361.2	361.2	0	9	1.000
454.6	454.6	5	29	0.009
535.7	535.7	21	83	0.000
797.0	797.0	1	7	0.286
842.0	842.0	1	5	0.214
910.0	910.0	12	63	0.000
937.0	937.0	2	8	0.050
#
# Mann-Whitney U test: U = 6.2e+03 (p = 3.17e-19)
#
# Average age of Osteosarcoma: 594.6
# Average age of Background: 169.9
#
# Median age of Osteosarcoma: 535.7
# Median age of Background: 29.6
