# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Ovarian-Neoplasms.txt 2015-01-18 22:57:37.119789
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Ovarian-Neoplasms
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Ovarian-Neoplasms--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Ovarian-Neoplasms--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Ovarian-Neoplasms: 123
# Proteins in Background: 1025
#
# age	label	Ovarian-Neoplasms	Background	p-value
0.0	0.0	0	151	0.000
6.1	6.1	1	51	0.024
15.7	15.7	1	107	0.000
29.6	29.6	4	239	0.000
44.2	44.2	0	1	1.000
89.1	89.1	0	13	0.385
97.4	97.4	15	238	0.001
176.1	176.1	0	8	0.606
220.2	220.2	0	4	1.000
324.5	324.5	0	9	0.610
361.2	361.2	7	9	0.000
454.6	454.6	9	29	0.005
535.7	535.7	37	83	0.000
797.0	797.0	2	7	0.201
842.0	842.0	4	5	0.001
910.0	910.0	36	63	0.000
937.0	937.0	7	8	0.000
#
# Mann-Whitney U test: U = 1.9e+04 (p = 1.59e-38)
#
# Average age of Ovarian-Neoplasms: 588.0
# Average age of Background: 169.9
#
# Median age of Ovarian-Neoplasms: 535.7
# Median age of Background: 29.6
