# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Pancreatic-Neoplasms.txt 2015-01-18 22:57:53.305727
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Pancreatic-Neoplasms
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Pancreatic-Neoplasms--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Pancreatic-Neoplasms--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Pancreatic-Neoplasms: 106
# Proteins in Background: 1025
#
# age	label	Pancreatic-Neoplasms	Background	p-value
0.0	0.0	0	151	0.000
6.1	6.1	0	51	0.007
15.7	15.7	1	107	0.000
29.6	29.6	5	239	0.000
44.2	44.2	0	1	1.000
89.1	89.1	0	13	0.383
97.4	97.4	5	238	0.000
176.1	176.1	0	8	1.000
220.2	220.2	1	4	0.354
324.5	324.5	1	9	1.000
361.2	361.2	2	9	0.237
454.6	454.6	10	29	0.000
535.7	535.7	40	83	0.000
797.0	797.0	3	7	0.028
842.0	842.0	1	5	0.421
910.0	910.0	31	63	0.000
937.0	937.0	6	8	0.000
#
# Mann-Whitney U test: U = 1.5e+04 (p = 1.87e-36)
#
# Average age of Pancreatic-Neoplasms: 612.8
# Average age of Background: 169.9
#
# Median age of Pancreatic-Neoplasms: 535.7
# Median age of Background: 29.6
