# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Pulmonary-Disease,-Chronic-Obstructive.txt 2015-01-18 21:26:43.380080
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Pulmonary-Disease,-Chronic-Obstructive
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Pulmonary-Disease,-Chronic-Obstructive--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Pulmonary-Disease,-Chronic-Obstructive--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Pulmonary-Disease,-Chronic-Obstructive: 16
# Proteins in Background: 1025
#
# age	label	Pulmonary-Disease,-Chronic-Obstructive	Background	p-value
0.0	0.0	0	151	0.149
6.1	6.1	0	51	1.000
15.7	15.7	0	107	0.398
29.6	29.6	0	239	0.031
44.2	44.2	0	1	1.000
89.1	89.1	0	13	1.000
97.4	97.4	0	238	0.031
176.1	176.1	1	8	0.119
220.2	220.2	0	4	1.000
324.5	324.5	0	9	1.000
361.2	361.2	0	9	1.000
454.6	454.6	0	29	1.000
535.7	535.7	3	83	0.133
797.0	797.0	0	7	1.000
842.0	842.0	0	5	1.000
910.0	910.0	11	63	0.000
937.0	937.0	1	8	0.119
#
# Mann-Whitney U test: U = 1e+03 (p = 5.46e-10)
#
# Average age of Pulmonary-Disease,-Chronic-Obstructive: 795.6
# Average age of Background: 169.9
#
# Median age of Pulmonary-Disease,-Chronic-Obstructive: 910.0
# Median age of Background: 29.6
