# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Retinoblastoma.txt 2015-01-18 21:27:15.321485
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Retinoblastoma
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Retinoblastoma--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Retinoblastoma--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Retinoblastoma: 43
# Proteins in Background: 1025
#
# age	label	Retinoblastoma	Background	p-value
0.0	0.0	0	151	0.002
6.1	6.1	0	51	0.267
15.7	15.7	0	107	0.018
29.6	29.6	0	239	0.000
44.2	44.2	0	1	1.000
89.1	89.1	0	13	1.000
97.4	97.4	7	238	0.356
176.1	176.1	1	8	0.291
220.2	220.2	0	4	1.000
324.5	324.5	0	9	1.000
361.2	361.2	0	9	1.000
454.6	454.6	1	29	1.000
535.7	535.7	10	83	0.001
797.0	797.0	1	7	0.260
842.0	842.0	0	5	1.000
910.0	910.0	21	63	0.000
937.0	937.0	2	8	0.041
#
# Mann-Whitney U test: U = 5e+03 (p = 1.19e-18)
#
# Average age of Retinoblastoma: 661.6
# Average age of Background: 169.9
#
# Median age of Retinoblastoma: 910.0
# Median age of Background: 29.6
