# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Salivary-Gland-Neoplasms.txt 2015-01-18 21:27:30.687389
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Salivary-Gland-Neoplasms
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Salivary-Gland-Neoplasms--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Salivary-Gland-Neoplasms--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Salivary-Gland-Neoplasms: 24
# Proteins in Background: 1025
#
# age	label	Salivary-Gland-Neoplasms	Background	p-value
0.0	0.0	0	151	0.038
6.1	6.1	0	51	0.627
15.7	15.7	0	107	0.164
29.6	29.6	0	239	0.002
44.2	44.2	0	1	1.000
89.1	89.1	0	13	1.000
97.4	97.4	8	238	0.228
176.1	176.1	0	8	1.000
220.2	220.2	0	4	1.000
324.5	324.5	0	9	1.000
361.2	361.2	1	9	0.193
454.6	454.6	2	29	0.145
535.7	535.7	5	83	0.038
797.0	797.0	0	7	1.000
842.0	842.0	2	5	0.005
910.0	910.0	5	63	0.013
937.0	937.0	1	8	0.173
#
# Mann-Whitney U test: U = 4.3e+03 (p = 1.45e-08)
#
# Average age of Salivary-Gland-Neoplasms: 495.8
# Average age of Background: 169.9
#
# Median age of Salivary-Gland-Neoplasms: 535.7
# Median age of Background: 29.6
