# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Sarcoma,-Kaposi.txt 2015-01-18 21:27:39.890299
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Sarcoma,-Kaposi
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Sarcoma,-Kaposi--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Sarcoma,-Kaposi--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Sarcoma,-Kaposi: 19
# Proteins in Background: 1025
#
# age	label	Sarcoma,-Kaposi	Background	p-value
0.0	0.0	0	151	0.095
6.1	6.1	1	51	1.000
15.7	15.7	1	107	0.711
29.6	29.6	0	239	0.011
44.2	44.2	0	1	1.000
89.1	89.1	1	13	0.217
97.4	97.4	2	238	0.273
176.1	176.1	0	8	1.000
220.2	220.2	0	4	1.000
324.5	324.5	0	9	1.000
361.2	361.2	0	9	1.000
454.6	454.6	0	29	1.000
535.7	535.7	2	83	0.662
797.0	797.0	0	7	1.000
842.0	842.0	0	5	1.000
910.0	910.0	12	63	0.000
937.0	937.0	0	8	1.000
#
# Mann-Whitney U test: U = 3.5e+03 (p = 5.8e-07)
#
# Average age of Sarcoma,-Kaposi: 647.2
# Average age of Background: 169.9
#
# Median age of Sarcoma,-Kaposi: 910.0
# Median age of Background: 29.6
