# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Stomach-Neoplasms.txt 2015-01-18 21:28:27.942036
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Stomach-Neoplasms
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Stomach-Neoplasms--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Stomach-Neoplasms--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Stomach-Neoplasms: 192
# Proteins in Background: 1025
#
# age	label	Stomach-Neoplasms	Background	p-value
0.0	0.0	0	151	0.000
6.1	6.1	1	51	0.000
15.7	15.7	4	107	0.000
29.6	29.6	30	239	0.005
44.2	44.2	0	1	1.000
89.1	89.1	0	13	0.144
97.4	97.4	32	238	0.018
176.1	176.1	1	8	1.000
220.2	220.2	1	4	0.564
324.5	324.5	1	9	1.000
361.2	361.2	6	9	0.002
454.6	454.6	13	29	0.001
535.7	535.7	52	83	0.000
797.0	797.0	6	7	0.000
842.0	842.0	5	5	0.000
910.0	910.0	35	63	0.000
937.0	937.0	5	8	0.008
#
# Mann-Whitney U test: U = 4.6e+04 (p = 3.6e-33)
#
# Average age of Stomach-Neoplasms: 449.2
# Average age of Background: 169.9
#
# Median age of Stomach-Neoplasms: 535.7
# Median age of Background: 29.6
