Name	A549	BGC-823	HEK293	H9	PC-3M-IE8	T/G HA-VSMC	MCF-7	NSC	Panc-1	U251
hsa-miR-23a-5p	0.311332275	N/A	0.408060596	0.31258118	N/A	N/A	0.680832968	0.357490178	0.870160529	0.20865146
ebv-miR-BART1-3p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-921	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-181a-2-3p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-502-5p	0.178143818	N/A	0.247695351	N/A	0.833091247	0.925790076	N/A	N/A	N/A	N/A
hsa-miR-508-5p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-19b-2-5p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
kshv-miR-K12-12*	0.96783342	0.645206224	0.617446161	0.367242662	0.654719798	N/A	0.689067533	0.534483253	N/A	0.466185107
hsa-miR-1270	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-1248	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-31-5p	N/A	0.591278339	0.459755365	0.383171347	N/A	N/A	0.921242481	0.65169929	0.472797739	0.64590731
hsa-miR-943	0.172679232	0.603361869	0.35341317	0.481824468	0.75919021	0.654156978	N/A	0.556775071	0.601895297	0.449578698
hsa-miR-586	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-597	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-149-5p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.648375088	N/A
hsa-miR-634	0.355045343	N/A	0.188093917	0.400295251	0.742184586	N/A	0.952508362	0.751166782	0.828126819	0.951727063
ebv-miR-BART20-3p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-1180	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-24-3p	N/A	0.25999726	N/A	0.046119229	N/A	N/A	N/A	0.725490387	0.755278834	0.257049189
kshv-miR-K12-3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.537987648	N/A
ebv-miR-BART10*	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
