Homo sapiens
Pan troglodytes
Gorilla gorilla
Pongo pygmaeus
Macaca mulatta
Callithrix jacchus
Tarsius syrichta
Microcebus murinus
Otolemur garnettii
Tupaia belangeri
Cavia porcellus
Dipodomys ordii
Mus musculus
Rattus norvegicus
Ictidomys tridecemlineatus
Ochotona princeps
Oryctolagus cuniculus
Bos taurus
Tursiops truncatus
Vicugna pacos
Sus scrofa
Canis lupus familiaris
Felis catus
Equus caballus
Myotis lucifugus
Pteropus vampyrus
Erinaceus europaeus
Sorex araneus
Choloepus hoffmanni
Echinops telfairi
Loxodonta africana
Procavia capensis
Macropus eugenii
Monodelphis domestica
Ornithorhynchus anatinus
Gallus gallus
Meleagris gallopavo
Taeniopygia guttata
Anolis carolinensis
8364
Danio rerio
Gasterosteus aculeatus
Oryzias latipes
Takifugu rubripes
Tetraodon nigroviridis
Ciona intestinalis
Ciona savignyi
Drosophila melanogaster
Caenorhabditis elegans
Amphimedon queenslandica
Nematostella vectensis
Hydra vulgaris
Saccoglossus kowalevskii
Strongylocentrotus purpuratus
Oikopleura dioica
Branchiostoma floridae
Xenopus laevis
Ateles geoffroyi
Lagothrix lagotricha
Saguinus labiatus
Macaca nemestrina
Rhinopithecus bieti
Pan paniscus
Symphalangus syndactylus
Lemur catta
Cricetulus griseus
Ovis aries
Anopheles gambiae
Apis mellifera
Bombyx mori
Drosophila ananassae
Drosophila erecta
Drosophila grimshawi
Drosophila mojavensis
Drosophila persimilis
Drosophila pseudoobscura
Drosophila sechellia
Drosophila simulans
Drosophila virilis
Drosophila willistoni
Drosophila yakuba
Locusta migratoria
Tribolium castaneum
Daphnia pulex
Ixodes scapularis
Caenorhabditis briggsae
Schistosoma japonicum
Schistosoma mansoni
Schmidtea mediterranea
Capitella teleta
Cerebratulus lacteus
Haliotis rufescens
Lottia gigantea
Dictyostelium discoideum
Chlamydomonas reinhardtii
Pinus taeda
Physcomitrella patens
Selaginella moellendorffii
Arabidopsis thaliana
Brassica napus
Brassica oleracea
Brassica rapa
Carica papaya
Glycine max
Lotus japonicus
Medicago truncatula
Vigna unguiculata
Gossypium herbaceum
Gossypium hirsutum
Gossypium raimondii
Populus trichocarpa
Solanum lycopersicum
Vitis vinifera
Oryza sativa
Sorghum bicolor
Saccharum officinarum
Triticum aestivum
Zea mays
Phaseolus vulgaris
Malus domestica
Caenorhabditis remanei
Pristionchus pacificus
Brachypodium distachyon
Populus euphratica
Citrus sinensis
Citrus clementina
Citrus reticulata
Citrus trifoliata
Brugia malayi
Acyrthosiphon pisum
Ricinus communis
Aedes aegypti
Gossypium arboreum
Culex quinquefasciatus
Arabidopsis lyrata
Ectocarpus siliculosus
Nasonia vitripennis
Arachis hypogaea
Glycine soja
Picea abies
Strigamia maritima
Triticum turgidum
Aegilops tauschii
Hordeum vulgare
Festuca arundinacea
Nasonia giraulti
Nasonia longicornis
Bruguiera gymnorhiza
Bruguiera cylindrica
Cunninghamia lanceolata
Petromyzon marinus
Theobroma cacao
Xenoturbella bocki
Echinococcus granulosus
Echinococcus multilocularis
Heliconius melpomene
Glottidia pyramidata
Terebratulina retusa
Rehmannia glutinosa
Cucumis melo
Saccharum sp.
Rhipicephalus microplus
Ascaris suum
Acacia mangium
Acacia auriculiformis
Phaeodactylum tricornutum
Salvia sclarea
Tetranychus urticae
Sarcophilus harrisii
Haemonchus contortus
Digitalis purpurea
Nicotiana tabacum
Solanum tuberosum
Elaeis guineensis
Manihot esculenta
Manduca sexta
Cynara cardunculus
Linum usitatissimum
Panax ginseng
Hevea brasiliensis
Marsupenaeus japonicus
Pinus densata
Paralichthys olivaceus
Helianthus annuus
Helianthus ciliaris
Helianthus tuberosus
Helianthus exilis
Helianthus argophyllus
Helianthus petiolaris
Helianthus paradoxus
Hippoglossus hippoglossus
Cyprinus carpio
Prunus persica
Artibeus jamaicensis
Ictalurus punctatus
Caenorhabditis brenneri
Sycon ciliatum
Leucosolenia complicata
Panagrellus redivivus
Patiria miniata
Lytechinus variegatus
Avicennia marina
Branchiostoma belcheri
Salmo salar
Plutella xylostella
Amborella trichopoda
Phytophthora infestans
Phytophthora sojae
Phytophthora ramorum
Eptesicus fuscus
Gyrodactylus salaris
Capra hircus
Ophiophagus hannah
Tupaia chinensis
