sci	Sycon ciliatum
pti	Phaeodactylum tricornutum
ttr	Tursiops truncatus
ptc	Populus trichocarpa
pxy	Plutella xylostella
pta	Pinus taeda
har	Helianthus argophyllus
tch	Tupaia chinensis
aly	Arabidopsis lyrata
osa	Oryza sativa
lla	Lagothrix lagotricha
ptr	Pan troglodytes
nlo	Nasonia longicornis
tca	Tribolium castaneum
cln	Cunninghamia lanceolata
xtr	Xenopus tropicalis
han	Helianthus annuus
hru	Haliotis rufescens
gac	Gasterosteus aculeatus
gma	Glycine max
sof	Saccharum officinarum
cla	Cerebratulus lacteus
bfl	Branchiostoma floridae
ssa	Salmo salar
nvi	Nasonia vitripennis
tsy	Tarsius syrichta
sko	Saccoglossus kowalevskii
pca	Procavia capensis
ocu	Oryctolagus cuniculus
psj	Phytophthora sojae
aae	Aedes aegypti
mga	Meleagris gallopavo
rno	Rattus norvegicus
opr	Ochotona princeps
far	Festuca arundinacea
dan	Drosophila ananassae
cel	Caenorhabditis elegans
ame	Apis mellifera
ssp	Saccharum sp.
amg	Acacia mangium
ssl	Salvia sclarea
nve	Nematostella vectensis
ttu	Triticum turgidum
lca	Lemur catta
lco	Leucosolenia complicata
pgi	Panax ginseng
tbe	Tupaia belangeri
dya	Drosophila yakuba
ssc	Sus scrofa
sly	Solanum lycopersicum
dpu	Daphnia pulex
hci	Helianthus ciliaris
dps	Drosophila pseudoobscura
dpr	Digitalis purpurea
crt	Citrus reticulata
eeu	Erinaceus europaeus
cme	Cucumis melo
tcc	Theobroma cacao
xla	Xenopus laevis
emu	Echinococcus multilocularis
lja	Lotus japonicus
dpe	Drosophila persimilis
esi	Ectocarpus siliculosus
cre	Chlamydomonas reinhardtii
zma	Zea mays
pbi	Rhinopithecus bieti
crm	Caenorhabditis remanei
ola	Oryzias latipes
pvu	Phaseolus vulgaris
mdo	Monodelphis domestica
mdm	Malus domestica
tre	Terebratulina retusa
ipu	Ictalurus punctatus
cfa	Canis lupus familiaris
pva	Pteropus vampyrus
odi	Oikopleura dioica
htu	Helianthus tuberosus
bta	Bos taurus
pma	Petromyzon marinus
rmi	Rhipicephalus microplus
pmi	Patiria miniata
lus	Linum usitatissimum
asu	Ascaris suum
sha	Sarcophilus harrisii
peu	Populus euphratica
bdi	Brachypodium distachyon
smr	Strigamia maritima
mne	Macaca nemestrina
smo	Selaginella moellendorffii
ddi	Dictyostelium discoideum
dsi	Drosophila simulans
aja	Artibeus jamaicensis
sme	Schmidtea mediterranea
dse	Drosophila sechellia
hco	Haemonchus contortus
sma	Schistosoma mansoni
hsa	Homo sapiens
eca	Equus caballus
mmu	Mus musculus
tur	Tetranychus urticae
mmr	Microcebus murinus
meu	Macropus eugenii
lmi	Locusta migratoria
gga	Gallus gallus
mes	Manihot esculenta
nta	Nicotiana tabacum
ggo	Gorilla gorilla
cgr	Cricetulus griseus
aca	Anolis carolinensis
egr	Echinococcus granulosus
ctr	Citrus trifoliata
mml	Macaca mulatta
vun	Vigna unguiculata
tru	Takifugu rubripes
ath	Arabidopsis thaliana
cte	Capitella teleta
bol	Brassica oleracea
ete	Echinops telfairi
isc	Ixodes scapularis
bgy	Bruguiera gymnorhiza
pde	Pinus densata
sja	Schistosoma japonicum
dre	Danio rerio
hbr	Hevea brasiliensis
ppc	Pristionchus pacificus
ppa	Pan paniscus
bna	Brassica napus
ppe	Prunus persica
tgu	Taeniopygia guttata
ngi	Nasonia giraulti
pol	Paralichthys olivaceus
api	Acyrthosiphon pisum
ppt	Physcomitrella patens
ppy	Pongo pygmaeus
ahy	Arachis hypogaea
hvu	Hordeum vulgare
bra	Brassica rapa
sbi	Sorghum bicolor
chi	Capra hircus
bbe	Branchiostoma belcheri
hex	Helianthus exilis
cho	Choloepus hoffmanni
rco	Ricinus communis
gpy	Glottidia pyramidata
mse	Manduca sexta
cqu	Culex quinquefasciatus
aqu	Amphimedon queenslandica
lgi	Lottia gigantea
bmo	Bombyx mori
oha	Ophiophagus hannah
vpa	Vicugna pacos
hme	Heliconius melpomene
oga	Otolemur garnettii
hma	Hydra vulgaris
ssy	Symphalangus syndactylus
dme	Drosophila melanogaster
mtr	Medicago truncatula
rgl	Rehmannia glutinosa
der	Drosophila erecta
ata	Aegilops tauschii
cin	Ciona intestinalis
dmo	Drosophila mojavensis
aau	Acacia auriculiformis
stu	Solanum tuberosum
lva	Lytechinus variegatus
str	Ictidomys tridecemlineatus
mlu	Myotis lucifugus
tni	Tetraodon nigroviridis
sla	Saguinus labiatus
prd	Panagrellus redivivus
