# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Liver-Cirrhosis.txt 2015-01-18 21:20:20.803431
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Liver-Cirrhosis
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Liver-Cirrhosis--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Liver-Cirrhosis--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-200b	910.0	910.0
hsa-mir-200a	910.0	910.0
hsa-mir-29b-2	910.0	910.0
hsa-mir-29c	910.0	910.0
hsa-mir-29a	910.0	910.0
hsa-mir-21	454.6	454.6
hsa-mir-571	29.6	29.6
hsa-mir-214	454.6	454.6
hsa-mir-652	97.4	97.4
hsa-mir-513a-2	97.4	97.4
hsa-mir-29b-1	910.0	910.0
hsa-mir-222	535.7	535.7
hsa-mir-221	535.7	535.7
hsa-mir-181b-1	535.7	535.7
hsa-mir-513a-1	97.4	97.4
hsa-mir-513c	97.4	97.4
hsa-mir-133a-1	910.0	910.0
hsa-mir-133a-2	910.0	910.0
hsa-mir-181b-2	535.7	535.7
hsa-mir-513b	97.4	97.4
hsa-mir-199a-1	535.7	535.7
hsa-mir-199a-2	535.7	535.7
