# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Multiple-Myeloma.txt 2015-01-18 22:55:07.754442
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Multiple-Myeloma
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Multiple-Myeloma--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Multiple-Myeloma--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-19a	535.7	535.7
hsa-mir-125b-1	937.0	937.0
hsa-mir-125b-2	937.0	937.0
hsa-mir-192	535.7	535.7
hsa-mir-30b	535.7	535.7
hsa-mir-29b-2	910.0	910.0
hsa-mir-17	535.7	535.7
hsa-mir-16-2	535.7	535.7
hsa-mir-342	97.4	97.4
hsa-mir-24-1	535.7	535.7
hsa-mir-15a	535.7	535.7
hsa-mir-194-1	535.7	535.7
hsa-mir-194-2	535.7	535.7
hsa-mir-18a	535.7	535.7
hsa-mir-335	97.4	97.4
hsa-mir-20a	535.7	535.7
hsa-mir-21	454.6	454.6
hsa-mir-130b	535.7	535.7
hsa-mir-181a-1	535.7	535.7
hsa-mir-215	535.7	535.7
hsa-mir-636	29.6	29.6
hsa-mir-16-1	535.7	535.7
hsa-mir-625	29.6	29.6
hsa-mir-29b-1	910.0	910.0
hsa-mir-99b	937.0	937.0
hsa-mir-92a-1	910.0	910.0
hsa-mir-223	454.6	454.6
hsa-mir-222	535.7	535.7
hsa-mir-221	535.7	535.7
hsa-mir-19b-1	535.7	535.7
hsa-mir-561	6.1	6.1
hsa-mir-148a	535.7	535.7
