# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Stroke.txt 2015-01-18 23:01:45.166211
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Stroke
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Stroke--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Stroke--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-122	454.6	454.6
hsa-let-7f-2	910.0	910.0
hsa-mir-145	535.7	535.7
hsa-mir-298	89.1	89.1
hsa-mir-124-2	910.0	910.0
hsa-mir-155	454.6	454.6
hsa-mir-181a-1	535.7	535.7
hsa-mir-1-1	910.0	910.0
hsa-mir-1-2	910.0	910.0
hsa-mir-362	97.4	97.4
hsa-mir-133a-1	910.0	910.0
hsa-mir-133a-2	910.0	910.0
hsa-mir-124-1	910.0	910.0
hsa-mir-124-3	910.0	910.0
hsa-mir-497	176.1	176.1
hsa-let-7f-1	910.0	910.0
