# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Leukemia-Lymphoma,-Adult-T-Cell.txt 2015-01-18 22:52:32.075118
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Leukemia-Lymphoma,-Adult-T-Cell
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Leukemia-Lymphoma,-Adult-T-Cell--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Leukemia-Lymphoma,-Adult-T-Cell--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-19a	535.7	535.7
hsa-mir-17	535.7	535.7
hsa-mir-326	97.4	97.4
hsa-mir-16-2	535.7	535.7
hsa-mir-205	535.7	535.7
hsa-mir-18a	535.7	535.7
hsa-mir-155	454.6	454.6
hsa-mir-20a	535.7	535.7
hsa-mir-16-1	535.7	535.7
hsa-mir-92a-2	910.0	910.0
hsa-mir-92a-1	910.0	910.0
hsa-mir-711	97.4	97.4
hsa-mir-19b-2	535.7	535.7
hsa-mir-19b-1	535.7	535.7
hsa-mir-142	454.6	454.6
