# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Liver-Neoplasms.txt 2015-01-18 21:20:33.191143
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Liver-Neoplasms
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Liver-Neoplasms--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Liver-Neoplasms--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-122	454.6	454.6
hsa-mir-200a	910.0	910.0
hsa-mir-30a	535.7	535.7
hsa-mir-34c	910.0	910.0
hsa-mir-24-1	535.7	535.7
hsa-mir-29a	910.0	910.0
hsa-let-7b	910.0	910.0
hsa-mir-133b	910.0	910.0
hsa-mir-21	454.6	454.6
hsa-mir-372	97.4	97.4
hsa-mir-375	910.0	910.0
hsa-mir-210	910.0	910.0
hsa-mir-10b	937.0	937.0
hsa-mir-223	454.6	454.6
hsa-let-7i	910.0	910.0
hsa-mir-148b	535.7	535.7
hsa-mir-629	6.1	6.1
