# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Gastrointestinal-Neoplasms.txt 2015-01-18 21:15:52.409436
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Gastrointestinal-Neoplasms
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Gastrointestinal-Neoplasms--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Gastrointestinal-Neoplasms--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-7-2	910.0	910.0
hsa-mir-126	797.0	797.0
hsa-mir-200b	910.0	910.0
hsa-mir-200a	910.0	910.0
hsa-mir-208a	454.6	454.6
hsa-mir-18b	535.7	535.7
hsa-mir-494	97.4	97.4
hsa-mir-124-2	910.0	910.0
hsa-let-7g	910.0	910.0
hsa-mir-133b	910.0	910.0
hsa-mir-338	454.6	454.6
hsa-mir-152	535.7	535.7
hsa-mir-375	910.0	910.0
hsa-mir-107	535.7	535.7
hsa-mir-196a-2	535.7	535.7
hsa-mir-7-3	910.0	910.0
hsa-mir-7-1	910.0	910.0
hsa-mir-200c	910.0	910.0
hsa-mir-222	535.7	535.7
hsa-mir-221	535.7	535.7
hsa-mir-1-1	910.0	910.0
hsa-mir-31	910.0	910.0
hsa-let-7a-1	910.0	910.0
hsa-mir-124-1	910.0	910.0
hsa-mir-124-3	910.0	910.0
hsa-mir-497	176.1	176.1
hsa-mir-98	910.0	910.0
hsa-mir-148a	535.7	535.7
hsa-mir-196a-1	535.7	535.7
hsa-mir-142	454.6	454.6
hsa-mir-146a	535.7	535.7
