# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Pulmonary-Disease,-Chronic-Obstructive.txt 2015-01-18 21:26:43.380080
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Pulmonary-Disease,-Chronic-Obstructive
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Pulmonary-Disease,-Chronic-Obstructive--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Pulmonary-Disease,-Chronic-Obstructive--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-7-2	910.0	910.0
hsa-mir-34a	910.0	910.0
hsa-mir-34c	910.0	910.0
hsa-mir-206	910.0	910.0
hsa-mir-133b	910.0	910.0
hsa-mir-20a	535.7	535.7
hsa-mir-100	937.0	937.0
hsa-mir-196a-2	535.7	535.7
hsa-mir-28	176.1	176.1
hsa-mir-7-3	910.0	910.0
hsa-mir-7-1	910.0	910.0
hsa-mir-1-1	910.0	910.0
hsa-mir-1-2	910.0	910.0
hsa-mir-133a-1	910.0	910.0
hsa-mir-133a-2	910.0	910.0
hsa-mir-199a-1	535.7	535.7
