# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Burkitt-Lymphoma.txt 2015-01-18 21:10:00.562166
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Burkitt-Lymphoma
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Burkitt-Lymphoma--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Burkitt-Lymphoma--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-127	97.4	97.4
hsa-mir-19a	535.7	535.7
hsa-mir-17	535.7	535.7
hsa-mir-18a	535.7	535.7
hsa-mir-155	454.6	454.6
hsa-mir-20a	535.7	535.7
hsa-mir-92a-1	910.0	910.0
hsa-mir-19b-1	535.7	535.7
hsa-mir-93	535.7	535.7
hsa-mir-146a	535.7	535.7
