# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Diabetic-Nephropathies.txt 2015-01-18 22:44:16.749201
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Diabetic-Nephropathies
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Diabetic-Nephropathies--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Diabetic-Nephropathies--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-192	535.7	535.7
hsa-mir-200b	910.0	910.0
hsa-mir-200a	910.0	910.0
hsa-mir-29b-2	910.0	910.0
hsa-mir-29c	910.0	910.0
hsa-mir-29a	910.0	910.0
hsa-mir-21	454.6	454.6
hsa-mir-377	97.4	97.4
hsa-mir-29b-1	910.0	910.0
hsa-mir-200c	910.0	910.0
