# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Inflammation.txt 2015-01-18 22:50:18.200613
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Inflammation
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Inflammation--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Inflammation--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-126	797.0	797.0
hsa-mir-127	97.4	97.4
hsa-let-7f-2	910.0	910.0
hsa-mir-24-1	535.7	535.7
hsa-mir-29a	910.0	910.0
hsa-mir-1236	15.7	15.7
hsa-let-7b	910.0	910.0
hsa-let-7c	910.0	910.0
hsa-let-7g	910.0	910.0
hsa-let-7d	910.0	910.0
hsa-mir-132	535.7	535.7
hsa-mir-155	454.6	454.6
hsa-mir-33a	910.0	910.0
hsa-mir-33b	910.0	910.0
hsa-mir-21	454.6	454.6
hsa-mir-181a-1	535.7	535.7
hsa-mir-210	910.0	910.0
hsa-mir-222	535.7	535.7
hsa-mir-221	535.7	535.7
hsa-mir-181b-1	535.7	535.7
hsa-let-7a-2	910.0	910.0
hsa-let-7a-3	910.0	910.0
hsa-let-7a-1	910.0	910.0
hsa-let-7i	910.0	910.0
hsa-let-7e	910.0	910.0
hsa-mir-23b	535.7	535.7
hsa-let-7f-1	910.0	910.0
hsa-mir-146a	535.7	535.7
