# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Parkinson-Disease.txt 2015-01-18 21:25:15.677029
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Parkinson-Disease
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Parkinson-Disease--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Parkinson-Disease--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-7-2	910.0	910.0
hsa-mir-126	797.0	797.0
hsa-mir-30a	535.7	535.7
hsa-mir-30b	535.7	535.7
hsa-mir-29b-2	910.0	910.0
hsa-mir-16-2	535.7	535.7
hsa-mir-34b	910.0	910.0
hsa-mir-34c	910.0	910.0
hsa-mir-205	535.7	535.7
hsa-mir-29c	910.0	910.0
hsa-mir-29a	910.0	910.0
hsa-mir-26a-2	535.7	535.7
hsa-mir-26a-1	535.7	535.7
hsa-mir-133b	910.0	910.0
hsa-mir-335	97.4	97.4
hsa-mir-22	842.0	842.0
hsa-mir-30c-2	535.7	535.7
hsa-mir-30c-1	535.7	535.7
hsa-mir-433	97.4	97.4
hsa-mir-28	176.1	176.1
hsa-mir-7-3	910.0	910.0
hsa-mir-29b-1	910.0	910.0
hsa-mir-7-1	910.0	910.0
hsa-mir-374b	97.4	97.4
hsa-mir-374a	97.4	97.4
hsa-mir-1-1	910.0	910.0
hsa-mir-1-2	910.0	910.0
hsa-mir-19b-2	535.7	535.7
hsa-mir-19b-1	535.7	535.7
hsa-mir-301a	535.7	535.7
hsa-mir-199b	535.7	535.7
hsa-mir-199a-1	535.7	535.7
hsa-mir-199a-2	535.7	535.7
