# contains the families on the left with the members on the right. Look down the file to find an example with more than one member
mir-3691	hsa-mir-3691
mir-3690	hsa-mir-3690
mir-3692	hsa-mir-3692
mir-3057	hsa-mir-3057
mir-3059	hsa-mir-3059
mir-2053	hsa-mir-2053
mir-2054	hsa-mir-2054
mir-1015	hsa-mir-1015
mir-1014	hsa-mir-1014
mir-1017	hsa-mir-1017
mir-2462	hsa-mir-2462
mir-1016	hsa-mir-1016
mir-3909	hsa-mir-3909
mir-3908	hsa-mir-3908
mir-1011	hsa-mir-1011
mir-3907	hsa-mir-3907
mir-3906	hsa-mir-3906
mir-1010	hsa-mir-1010
mir-3589	hsa-mir-3589
mir-3588	hsa-mir-3588
mir-4270	hsa-mir-4270
mir-4271	hsa-mir-4271
mir-4276	hsa-mir-4276
mir-4277	hsa-mir-4277
mir-4274	hsa-mir-4274
mir-4275	hsa-mir-4275
mir-3581	hsa-mir-3581
mir-3580	hsa-mir-3580
mir-4278	hsa-mir-4278
mir-3582	hsa-mir-3582
mir-3585	hsa-mir-3585
mir-3584	hsa-mir-3584
mir-3587	hsa-mir-3587
mir-3586	hsa-mir-3586
mir-3198	hsa-mir-3198
mir-1720	hsa-mir-1720
mir-2896	hsa-mir-2896
mir-2897	hsa-mir-2897
mir-3475	hsa-mir-3475
mir-3474	hsa-mir-3474
mir-3471	hsa-mir-3471-1	hsa-mir-3471-2
mir-3470	hsa-mir-3470a	hsa-mir-3470b
mir-3473	hsa-mir-3473
mir-3472	hsa-mir-3472
mir-3679	hsa-mir-3679
mir-3058	hsa-mir-3058
mir-2892	hsa-mir-2892
mir-3673	hsa-mir-3673
mir-3672	hsa-mir-3672
mir-3671	hsa-mir-3671
mir-3670	hsa-mir-3670
mir-3677	hsa-mir-3677
mir-3676	hsa-mir-3676
mir-3675	hsa-mir-3675
mir-3674	hsa-mir-3674
mir-1763	hsa-mir-1763
mir-1762	hsa-mir-1762
mir-1761	hsa-mir-1761
mir-1760	hsa-mir-1760
mir-2898	hsa-mir-2898
mir-2899	hsa-mir-2899
mir-4058	hsa-mir-4058
mir-4059	hsa-mir-4059
mir-1765	hsa-mir-1765
mir-4052	hsa-mir-4052
mir-4053	hsa-mir-4053
mir-4050	hsa-mir-4050
mir-1764	hsa-mir-1764
mir-4056	hsa-mir-4056
mir-4057	hsa-mir-4057
mir-4054	hsa-mir-4054
mir-4055	hsa-mir-4055
mir-4298	hsa-mir-4298
mir-4299	hsa-mir-4299
mir-4290	hsa-mir-4290
mir-4291	hsa-mir-4291
mir-4292	hsa-mir-4292
mir-4293	hsa-mir-4293
mir-4294	hsa-mir-4294
mir-4295	hsa-mir-4295
mir-4296	hsa-mir-4296
mir-4297	hsa-mir-4297
mir-4128	hsa-mir-4128
mir-4129	hsa-mir-4129
mir-4126	hsa-mir-4126
mir-4127	hsa-mir-4127
mir-4124	hsa-mir-4124
mir-4125	hsa-mir-4125
mir-4122	hsa-mir-4122
mir-4123	hsa-mir-4123
mir-4120	hsa-mir-4120
mir-4121	hsa-mir-4121
mir-940	hsa-mir-940
mir-943	hsa-mir-943
mir-942	hsa-mir-942
mir-2861	hsa-mir-2861
mir-1226	hsa-mir-1226
mir-1227	hsa-mir-1227
mir-1736	hsa-mir-1736
mir-1225	hsa-mir-1225
mir-1730	hsa-mir-1730
mir-1731	hsa-mir-1731
mir-1732	hsa-mir-1732
mir-4273	hsa-mir-4273
mir-563	hsa-mir-563
mir-1738	hsa-mir-1738
mir-1739	hsa-mir-1739
mir-1228	hsa-mir-1228
mir-1229	hsa-mir-1229
mir-1352	hsa-mir-1352
mir-1353	hsa-mir-1353
mir-1350	hsa-mir-1350
mir-1351	hsa-mir-1351
mir-1356	hsa-mir-1356
mir-1357	hsa-mir-1357
mir-1354	hsa-mir-1354
mir-1355	hsa-mir-1355
mir-1358	hsa-mir-1358
mir-1359	hsa-mir-1359
mir-3583	hsa-mir-3583
mir-2335	hsa-mir-2335
mir-2334	hsa-mir-2334
mir-2337	hsa-mir-2337
mir-4279	hsa-mir-4279
mir-2331	hsa-mir-2331
mir-2330	hsa-mir-2330
mir-2333	hsa-mir-2333
mir-2332	hsa-mir-2332
mir-1640	hsa-mir-1640
mir-1641	hsa-mir-1641
mir-1642	hsa-mir-1642
mir-1643	hsa-mir-1643
mir-2339	hsa-mir-2339
mir-2338	hsa-mir-2338
mir-1646	hsa-mir-1646
mir-1647	hsa-mir-1647
mir-383	hsa-mir-383
mir-382	hsa-mir-382
mir-381	hsa-mir-381
mir-380	hsa-mir-380
mir-384	hsa-mir-384
mir-673	hsa-mir-673
mir-672	hsa-mir-672
mir-671	hsa-mir-671
mir-670	hsa-mir-670
mir-677	hsa-mir-677
mir-676	hsa-mir-676
mir-675	hsa-mir-675	hsa-mir-675a	hsa-mir-675b
mir-674	hsa-mir-674
mir-679	hsa-mir-679
mir-678	hsa-mir-678
mir-3112	hsa-mir-3112
mir-2428	hsa-mir-2428
mir-3110	hsa-mir-3110
mir-3116	hsa-mir-3116-1	hsa-mir-3116-2
mir-3117	hsa-mir-3117
mir-3115	hsa-mir-3115
mir-2421	hsa-mir-2421
mir-2420	hsa-mir-2420
mir-3118	hsa-mir-3118-1	hsa-mir-3118-2	hsa-mir-3118-3	hsa-mir-3118-4	hsa-mir-3118-5	hsa-mir-3118-6
mir-3119	hsa-mir-3119-1	hsa-mir-3119-2
mir-2425	hsa-mir-2425
mir-2424	hsa-mir-2424-1	hsa-mir-2424-2
mir-2427	hsa-mir-2427
mir-2426	hsa-mir-2426
mir-2466	hsa-mir-2466
mir-2461	hsa-mir-2461
mir-2460	hsa-mir-2460
mir-2463	hsa-mir-2463
mir-499	hsa-mir-499
mir-498	hsa-mir-498
mir-497	hsa-mir-497
mir-496	hsa-mir-496
mir-495	hsa-mir-495
mir-494	hsa-mir-494
mir-493	hsa-mir-493	hsa-mir-493a	hsa-mir-493b
mir-492	hsa-mir-492	hsa-mir-492-1	hsa-mir-492-2
mir-491	hsa-mir-491
mir-490	hsa-mir-490	hsa-mir-490-1	hsa-mir-490-2
mir-251	hsa-mir-251
mir-250	hsa-mir-250
mir-253	hsa-mir-253
mir-252	hsa-mir-252
mir-255	hsa-mir-255
mir-254	hsa-mir-254
mir-709	hsa-mir-709
mir-708	hsa-mir-708
mir-707	hsa-mir-707
mir-706	hsa-mir-706
mir-705	hsa-mir-705
mir-704	hsa-mir-704
mir-703	hsa-mir-703
mir-702	hsa-mir-702
mir-701	hsa-mir-701
mir-700	hsa-mir-700
mir-927	hsa-mir-927
mir-924	hsa-mir-924
mir-922	hsa-mir-922
mir-921	hsa-mir-921
mir-920	hsa-mir-920
mir-929	hsa-mir-929
mir-3066	hsa-mir-3066
mir-3067	hsa-mir-3067
mir-3064	hsa-mir-3064
mir-3065	hsa-mir-3065
mir-3062	hsa-mir-3062
mir-3063	hsa-mir-3063
mir-3060	hsa-mir-3060
mir-3061	hsa-mir-3061
mir-3068	hsa-mir-3068
mir-3069	hsa-mir-3069
mir-2198	hsa-mir-2198
mir-2191	hsa-mir-2191
mir-2190	hsa-mir-2190
mir-2193	hsa-mir-2193
mir-2192	hsa-mir-2192
mir-2195	hsa-mir-2195
mir-2194	hsa-mir-2194
mir-2197	hsa-mir-2197
mir-2196	hsa-mir-2196
mir-4265	hsa-mir-4265
mir-4264	hsa-mir-4264
mir-4267	hsa-mir-4267
mir-4266	hsa-mir-4266
mir-4261	hsa-mir-4261
mir-4260	hsa-mir-4260
mir-4263	hsa-mir-4263
mir-4262	hsa-mir-4262
mir-4269	hsa-mir-4269
mir-4268	hsa-mir-4268
mir-4132	hsa-mir-4132
mir-215	hsa-mir-215
mir-742	hsa-mir-742
mir-741	hsa-mir-741
mir-740	hsa-mir-740
mir-3648	hsa-mir-3648
mir-3649	hsa-mir-3649
mir-3646	hsa-mir-3646
mir-3647	hsa-mir-3647
mir-3644	hsa-mir-3644
mir-212	hsa-mir-212
mir-3642	hsa-mir-3642
mir-3643	hsa-mir-3643
mir-3641	hsa-mir-3641
mir-4049	hsa-mir-4049
mir-4048	hsa-mir-4048
mir-4045	hsa-mir-4045
mir-4044	hsa-mir-4044
mir-4047	hsa-mir-4047
mir-4046	hsa-mir-4046
mir-4041	hsa-mir-4041
mir-4040	hsa-mir-4040
mir-4043	hsa-mir-4043
mir-4042	hsa-mir-4042
mir-4289	hsa-mir-4289
mir-4288	hsa-mir-4288
mir-4283	hsa-mir-4283-1	hsa-mir-4283-2
mir-4282	hsa-mir-4282
mir-4281	hsa-mir-4281
mir-4280	hsa-mir-4280
mir-4287	hsa-mir-4287
mir-4286	hsa-mir-4286
mir-4285	hsa-mir-4285
mir-4284	hsa-mir-4284
mir-2209	hsa-mir-2209a	hsa-mir-2209c	hsa-mir-2209b
mir-2208	hsa-mir-2208a	hsa-mir-2208b
mir-624	hsa-mir-624
mir-625	hsa-mir-625
mir-626	hsa-mir-626
mir-4131	hsa-mir-4131
mir-4130	hsa-mir-4130
mir-4133	hsa-mir-4133
mir-627	hsa-mir-627
mir-4135	hsa-mir-4135
mir-4134	hsa-mir-4134
mir-4137	hsa-mir-4137
mir-4136	hsa-mir-4136
mir-4139	hsa-mir-4139
mir-620	hsa-mir-620
mir-621	hsa-mir-621
mir-190	hsa-mir-190	hsa-mir-190b	hsa-mir-190a
mir-623	hsa-mir-623
mir-3149	hsa-mir-3149
mir-3926	hsa-mir-3926-1	hsa-mir-3926-2
mir-1502	hsa-mir-1502a	hsa-mir-1502b	hsa-mir-1502c	hsa-mir-1502d
mir-1727	hsa-mir-1727-1	hsa-mir-1727-2
mir-1726	hsa-mir-1726
mir-1725	hsa-mir-1725
mir-1724	hsa-mir-1724
mir-1723	hsa-mir-1723
mir-1722	hsa-mir-1722
mir-1721	hsa-mir-1721
mir-3575	hsa-mir-3575
mir-1729	hsa-mir-1729
mir-1728	hsa-mir-1728
mir-3678	hsa-mir-3678
mir-3929	hsa-mir-3929
mir-3928	hsa-mir-3928
mir-1345	hsa-mir-1345
mir-1344	hsa-mir-1344
mir-1347	hsa-mir-1347
mir-1346	hsa-mir-1346
mir-1341	hsa-mir-1341
mir-1340	hsa-mir-1340
mir-1343	hsa-mir-1343
mir-1434	hsa-mir-1434
mir-1349	hsa-mir-1349
mir-1348	hsa-mir-1348
mir-1659	hsa-mir-1659
mir-1658	hsa-mir-1658
mir-1653	hsa-mir-1653
mir-1652	hsa-mir-1652
mir-1651	hsa-mir-1651
mir-1650	hsa-mir-1650
mir-1657	hsa-mir-1657
mir-1656	hsa-mir-1656
mir-1655	hsa-mir-1655
mir-1654	hsa-mir-1654-1	hsa-mir-1654-2
mir-392	hsa-mir-392
mir-660	hsa-mir-660
mir-661	hsa-mir-661
mir-662	hsa-mir-662
mir-663	hsa-mir-663	hsa-mir-663b	hsa-mir-663a
mir-664	hsa-mir-664	hsa-mir-664b	hsa-mir-664-1	hsa-mir-664-2
mir-665	hsa-mir-665
mir-666	hsa-mir-666
mir-667	hsa-mir-667
mir-668	hsa-mir-668
mir-669	hsa-mir-669m-2	hsa-mir-669b	hsa-mir-669a-1	hsa-mir-669a-2	hsa-mir-669a-3	hsa-mir-669c	hsa-mir-669k	hsa-mir-669g	hsa-mir-669d	hsa-mir-669j	hsa-mir-669f	hsa-mir-669i	hsa-mir-669h	hsa-mir-669e	hsa-mir-669l	hsa-mir-669m-1	hsa-mir-669o	hsa-mir-669n	hsa-mir-669d-2	hsa-mir-669a-4	hsa-mir-669a-5	hsa-mir-669a-6	hsa-mir-669a-7	hsa-mir-669p-1	hsa-mir-669a-8	hsa-mir-669a-9	hsa-mir-669p-2	hsa-mir-669a-10	hsa-mir-669a-11	hsa-mir-669a-12	hsa-mir-669
mir-1239	hsa-mir-1239
mir-1238	hsa-mir-1238
mir-1231	hsa-mir-1231
mir-1230	hsa-mir-1230
mir-1233	hsa-mir-1233-1	hsa-mir-1233-2	hsa-mir-1233-3	hsa-mir-1233
mir-1232	hsa-mir-1232
mir-1235	hsa-mir-1235
mir-1234	hsa-mir-1234
mir-1237	hsa-mir-1237
mir-1236	hsa-mir-1236
mir-3105	hsa-mir-3105
mir-3104	hsa-mir-3104
mir-3107	hsa-mir-3107
mir-3106	hsa-mir-3106
mir-3101	hsa-mir-3101
mir-3100	hsa-mir-3100
mir-3103	hsa-mir-3103
mir-3102	hsa-mir-3102
mir-2454	hsa-mir-2454
mir-2455	hsa-mir-2455
mir-802	hsa-mir-802
mir-2457	hsa-mir-2457
mir-804	hsa-mir-804
mir-3108	hsa-mir-3108
mir-2452	hsa-mir-2452
mir-2453	hsa-mir-2453
mir-2298	hsa-mir-2298
mir-2299	hsa-mir-2299
mir-2292	hsa-mir-2292
mir-2293	hsa-mir-2293
mir-2290	hsa-mir-2290
mir-2291	hsa-mir-2291
mir-2296	hsa-mir-2296
mir-2297	hsa-mir-2297
mir-2294	hsa-mir-2294
mir-2295	hsa-mir-2295
mir-488	hsa-mir-488
mir-489	hsa-mir-489
mir-484	hsa-mir-484
mir-485	hsa-mir-485
mir-486	hsa-mir-486
mir-487	hsa-mir-487a	hsa-mir-487b
mir-483	hsa-mir-483
mir-718	hsa-mir-718
mir-719	hsa-mir-719
mir-248	hsa-mir-248
mir-249	hsa-mir-249
mir-714	hsa-mir-714
mir-715	hsa-mir-715
mir-244	hsa-mir-244
mir-717	hsa-mir-717
mir-710	hsa-mir-710
mir-711	hsa-mir-711
mir-712	hsa-mir-712
mir-713	hsa-mir-713
mir-3079	hsa-mir-3079
mir-935	hsa-mir-935
mir-936	hsa-mir-936
mir-937	hsa-mir-937
mir-932	hsa-mir-932
mir-933	hsa-mir-933
mir-3071	hsa-mir-3071
mir-3070	hsa-mir-3070a	hsa-mir-3070b
mir-3073	hsa-mir-3073
mir-3072	hsa-mir-3072
mir-938	hsa-mir-938
mir-939	hsa-mir-939
mir-3077	hsa-mir-3077
mir-3076	hsa-mir-3076
mir-1840	hsa-mir-1840
mir-1841	hsa-mir-1841
mir-95	hsa-mir-95
mir-96	hsa-mir-96
mir-90	hsa-mir-90
mir-92	hsa-mir-92a-1	hsa-mir-92a-2	hsa-mir-92b	hsa-mir-92-1	hsa-mir-92-2	hsa-mir-92	hsa-mir-92a	hsa-mir-92c	hsa-mir-92d	hsa-mir-92e
mir-93	hsa-mir-93	hsa-mir-93a	hsa-mir-93b
mir-98	hsa-mir-98
mir-99	hsa-mir-99a	hsa-mir-99b	hsa-mir-99a-1	hsa-mir-99a-2	hsa-mir-99	hsa-mir-99-1	hsa-mir-99-2
mir-4192	hsa-mir-4192
mir-2887	hsa-mir-2887-1	hsa-mir-2887-2
mir-4194	hsa-mir-4194
mir-3651	hsa-mir-3651
mir-3650	hsa-mir-3650
mir-3653	hsa-mir-3653
mir-3652	hsa-mir-3652
mir-3655	hsa-mir-3655
mir-3654	hsa-mir-3654
mir-3657	hsa-mir-3657
mir-3656	hsa-mir-3656
mir-3659	hsa-mir-3659
mir-3658	hsa-mir-3658
mir-2885	hsa-mir-2885
mir-2883	hsa-mir-2883
mir-2212	hsa-mir-2212
mir-2882	hsa-mir-2882
mir-2213	hsa-mir-2213
mir-67	hsa-mir-67
mir-4144	hsa-mir-4144
mir-4145	hsa-mir-4145
mir-4146	hsa-mir-4146
mir-4147	hsa-mir-4147
mir-4140	hsa-mir-4140
mir-4141	hsa-mir-4141
mir-4142	hsa-mir-4142
mir-4143	hsa-mir-4143
mir-61	hsa-mir-61
mir-4148	hsa-mir-4148
mir-4149	hsa-mir-4149
mir-60	hsa-mir-60
mir-1537	hsa-mir-1537
mir-1538	hsa-mir-1538
mir-1539	hsa-mir-1539
mir-1406	hsa-mir-1406
mir-1407	hsa-mir-1407
mir-1404	hsa-mir-1404
mir-1405	hsa-mir-1405
mir-1402	hsa-mir-1402
mir-1403	hsa-mir-1403
mir-1400	hsa-mir-1400
mir-1401	hsa-mir-1401
mir-1408	hsa-mir-1408
mir-1409	hsa-mir-1409
mir-1668	hsa-mir-1668
mir-1669	hsa-mir-1669
mir-1666	hsa-mir-1666
mir-1667	hsa-mir-1667
mir-1664	hsa-mir-1664
mir-1665	hsa-mir-1665
mir-1662	hsa-mir-1662
mir-1663	hsa-mir-1663
mir-1660	hsa-mir-1660
mir-1661	hsa-mir-1661
mir-1398	hsa-mir-1398
mir-1399	hsa-mir-1399
mir-1396	hsa-mir-1396
mir-1397	hsa-mir-1397
mir-1394	hsa-mir-1394
mir-1395	hsa-mir-1395
mir-1392	hsa-mir-1392
mir-1393	hsa-mir-1393
mir-1390	hsa-mir-1390
mir-1391	hsa-mir-1391
mir-659	hsa-mir-659
mir-658	hsa-mir-658
mir-129	hsa-mir-129-1	hsa-mir-129-2	hsa-mir-129	hsa-mir-129a	hsa-mir-129b
