# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/ACTH-Secreting-Pituitary-Adenoma.txt 2015-01-18 21:06:39.879874
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = ACTH-Secreting-Pituitary-Adenoma
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--ACTH-Secreting-Pituitary-Adenoma--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--ACTH-Secreting-Pituitary-Adenoma--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-145	535.7	535.7
hsa-mir-141	910.0	910.0
hsa-mir-16-2	535.7	535.7
hsa-mir-15a	535.7	535.7
hsa-mir-150	454.6	454.6
hsa-mir-21	454.6	454.6
hsa-mir-16-1	535.7	535.7
hsa-mir-143	535.7	535.7
hsa-let-7a-2	910.0	910.0
hsa-let-7a-3	910.0	910.0
hsa-let-7a-1	910.0	910.0
