# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirnas_not_in_disease.txt 2015-01-19 01:13:13.715928
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = mirnas_not_in_disease
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--mirnas_not_in_disease--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--mirnas_not_in_disease--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-3193	6.1	6.1
hsa-mir-3192	6.1	6.1
hsa-mir-1324	15.7	15.7
hsa-mir-3190	0.0	0.0
hsa-mir-4509-2	0.0	0.0
hsa-mir-676	97.4	97.4
hsa-mir-548ae-1	29.6	29.6
hsa-mir-770	97.4	97.4
hsa-mir-548f-3	29.6	29.6
hsa-mir-3191	0.0	0.0
hsa-mir-1256	97.4	97.4
hsa-mir-1257	15.7	15.7
hsa-mir-1252	15.7	15.7
hsa-mir-1253	15.7	15.7
hsa-mir-1250	29.6	29.6
hsa-mir-1251	176.1	176.1
hsa-mir-1254-2	15.7	15.7
hsa-mir-1254-1	15.7	15.7
hsa-mir-3690-1	0.0	0.0
hsa-mir-3690-2	0.0	0.0
hsa-mir-670	97.4	97.4
hsa-mir-483	97.4	97.4
hsa-mir-3129	6.1	6.1
hsa-mir-3122	29.6	29.6
hsa-mir-548i-3	29.6	29.6
hsa-mir-3120	454.6	454.6
hsa-mir-3121	15.7	15.7
hsa-mir-3126	6.1	6.1
hsa-mir-3127	6.1	6.1
hsa-mir-6511b-1	0.0	0.0
hsa-mir-3960	89.1	89.1
hsa-mir-6859-1	0.0	0.0
hsa-mir-6859-3	0.0	0.0
hsa-mir-6859-2	0.0	0.0
