# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Tuberculosis,-Pulmonary.txt 2015-01-18 21:29:01.851714
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Tuberculosis,-Pulmonary
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Tuberculosis,-Pulmonary--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Tuberculosis,-Pulmonary--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-329-2	97.4	97.4
hsa-mir-520d	29.6	29.6
hsa-mir-424	97.4	97.4
hsa-mir-342	97.4	97.4
hsa-mir-29a	910.0	910.0
hsa-mir-640	29.6	29.6
hsa-mir-421	97.4	97.4
hsa-mir-147b	454.6	454.6
hsa-mir-155	454.6	454.6
hsa-mir-21	454.6	454.6
hsa-mir-130b	535.7	535.7
hsa-mir-550a-2	29.6	29.6
hsa-mir-550a-1	29.6	29.6
hsa-mir-550b-1	29.6	29.6
hsa-mir-3179-1	0.0	0.0
hsa-mir-3179-3	0.0	0.0
hsa-mir-302a	361.2	361.2
hsa-mir-329-1	97.4	97.4
hsa-mir-144	535.7	535.7
hsa-mir-223	454.6	454.6
hsa-mir-181b-1	535.7	535.7
hsa-mir-550b-2	29.6	29.6
hsa-mir-19b-2	535.7	535.7
hsa-mir-181b-2	535.7	535.7
hsa-mir-3179-2	0.0	0.0
hsa-mir-548b	29.6	29.6
hsa-mir-146a	535.7	535.7
