# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Mesothelioma.txt 2015-01-18 21:21:43.250176
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Mesothelioma
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Mesothelioma--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Mesothelioma--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-7-2	910.0	910.0
hsa-mir-126	797.0	797.0
hsa-let-7f-2	910.0	910.0
hsa-mir-30e	535.7	535.7
hsa-mir-193a	910.0	910.0
hsa-mir-17	535.7	535.7
hsa-mir-34b	910.0	910.0
hsa-mir-34c	910.0	910.0
hsa-mir-106a	535.7	535.7
hsa-mir-106b	535.7	535.7
hsa-mir-29a	910.0	910.0
hsa-mir-182	910.0	910.0
hsa-mir-18a	535.7	535.7
hsa-mir-20a	535.7	535.7
hsa-mir-21	454.6	454.6
hsa-mir-30c-2	535.7	535.7
hsa-mir-30c-1	535.7	535.7
hsa-mir-214	454.6	454.6
hsa-mir-92a-2	910.0	910.0
hsa-mir-625	29.6	29.6
hsa-mir-7-3	910.0	910.0
hsa-mir-7-1	910.0	910.0
hsa-mir-92a-1	910.0	910.0
hsa-mir-20b	535.7	535.7
hsa-mir-143	535.7	535.7
hsa-mir-25	910.0	910.0
hsa-mir-31	910.0	910.0
hsa-mir-19b-2	535.7	535.7
hsa-mir-19b-1	535.7	535.7
hsa-let-7a-3	910.0	910.0
hsa-let-7a-1	910.0	910.0
hsa-mir-497	176.1	176.1
hsa-let-7f-1	910.0	910.0
