# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Astrocytoma.txt 2015-01-18 22:38:29.720774
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Astrocytoma
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Astrocytoma--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Astrocytoma--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-197	97.4	97.4
hsa-mir-138-2	535.7	535.7
hsa-mir-138-1	535.7	535.7
hsa-mir-106a	535.7	535.7
hsa-mir-15b	535.7	535.7
hsa-mir-124-2	910.0	910.0
hsa-mir-335	97.4	97.4
hsa-mir-150	454.6	454.6
hsa-mir-137	910.0	910.0
hsa-mir-21	454.6	454.6
hsa-mir-107	535.7	535.7
hsa-mir-221	535.7	535.7
hsa-mir-149	97.4	97.4
hsa-mir-181b-1	535.7	535.7
hsa-mir-133a-1	910.0	910.0
hsa-mir-133a-2	910.0	910.0
hsa-mir-124-1	910.0	910.0
hsa-mir-124-3	910.0	910.0
hsa-mir-181b-2	535.7	535.7
hsa-mir-497	176.1	176.1
hsa-mir-548b	29.6	29.6
hsa-mir-23a	535.7	535.7
